food_id,risk_compound,confidence,method
IF-0070,potassium,0.9,keyword
IF-0070,rapid_carb,0.9,keyword
IF-0070,sodium,0.9,keyword
IF-0071,potassium,0.9,keyword
IF-0072,potassium,0.9,keyword
IF-0072,sodium,0.9,keyword
IF-0072,vitamin_k,0.9,keyword
IF-0073,potassium,0.9,keyword
IF-0073,sodium,0.9,keyword
IF-0074,gluten_allergen,0.9,keyword
IF-0074,milk_allergen,0.9,keyword
IF-0074,rapid_carb,0.9,keyword
IF-0074,sodium,0.9,keyword
IF-0075,potassium,0.3,llm
IF-0075,vitamin_k,0.9,keyword
IF-0077,milk_allergen,0.9,keyword
IF-0077,nut_allergen,0.9,keyword
IF-0077,saturated_fat,0.9,keyword
IF-0078,potassium,0.9,keyword
IF-0079,gluten_allergen,0.9,keyword
IF-0079,rapid_carb,0.9,keyword
IF-0080,milk_allergen,0.9,keyword
IF-0080,nut_allergen,0.9,keyword
IF-0080,sesame_allergen,0.9,keyword
IF-0081,saturated_fat,0.9,keyword
IF-0082,egg_allergen,0.9,keyword
IF-0082,gluten_allergen,0.9,keyword
IF-0082,rapid_carb,0.9,keyword
IF-0084,gluten_allergen,0.9,keyword
IF-0084,nut_allergen,0.9,keyword
IF-0085,gluten_allergen,0.9,keyword
IF-0085,rapid_carb,0.9,keyword
IF-0086,purine,0.9,keyword
IF-0086,saturated_fat,0.9,keyword
IF-0087,vitamin_k,0.9,keyword
IF-0088,nut_allergen,0.9,keyword
IF-0088,potassium,0.9,keyword
IF-0088,vitamin_k,0.9,keyword
IF-0089,added_sugar,0.55,llm
IF-0089,potassium,0.9,keyword
IF-0090,gluten_allergen,0.9,keyword
IF-0091,gluten_allergen,0.9,keyword
IF-0091,rapid_carb,0.9,keyword
IF-0092,milk_allergen,0.9,keyword
IF-0092,nut_allergen,0.9,keyword
IF-0095,potassium,0.3,llm
IF-0096,milk_allergen,0.9,keyword
IF-0096,potassium,0.9,keyword
IF-0096,rapid_carb,0.9,keyword
IF-0096,saturated_fat,0.9,keyword
IF-0097,added_sugar,0.9,keyword
IF-0097,nut_allergen,0.9,keyword
IF-0099,saturated_fat,0.9,keyword
IF-0100,gluten_allergen,0.9,keyword
IF-0100,potassium,0.3,llm
IF-0101,gluten_allergen,0.9,keyword
IF-0101,potassium,0.9,keyword
IF-0102,gluten_allergen,0.9,keyword
IF-0103,milk_allergen,0.8,llm
IF-0103,saturated_fat,0.8,llm
IF-0104,milk_allergen,0.9,keyword
IF-0104,potassium,0.3,llm
IF-0105,added_sugar,0.9,keyword
IF-0105,gluten_allergen,0.9,keyword
IF-0105,saturated_fat,0.9,keyword
IF-0106,potassium,0.9,keyword
IF-0107,milk_allergen,0.9,keyword
IF-0107,potassium,0.9,keyword
IF-0107,saturated_fat,0.9,keyword
IF-0108,milk_allergen,0.9,keyword
IF-0108,nut_allergen,0.9,keyword
IF-0108,saturated_fat,0.9,keyword
IF-0109,milk_allergen,0.9,keyword
IF-0109,saturated_fat,0.9,keyword
IF-0110,potassium,0.9,keyword
IF-0110,saturated_fat,0.5,llm
IF-0110,sodium,0.5,llm
IF-0111,gluten_allergen,0.9,keyword
IF-0111,rapid_carb,0.9,keyword
IF-0112,added_sugar,0.55,llm
IF-0112,saturated_fat,0.5,llm
IF-0112,sodium,0.5,llm
IF-0113,gluten_allergen,0.9,keyword
IF-0113,potassium,0.9,keyword
IF-0113,saturated_fat,0.9,keyword
IF-0114,added_sugar,0.9,keyword
IF-0114,sesame_allergen,0.9,keyword
IF-0115,potassium,0.3,llm
IF-0115,vitamin_k,0.9,keyword
IF-0116,mustard_allergen,0.5,llm
IF-0116,potassium,0.3,llm
IF-0116,purine,0.9,keyword
IF-0117,mustard_allergen,0.5,llm
IF-0117,potassium,0.3,llm
IF-0117,vitamin_k,0.9,keyword
IF-0118,potassium,0.9,keyword
IF-0119,gluten_allergen,0.9,keyword
IF-0119,mustard_allergen,0.5,llm
IF-0120,milk_allergen,0.9,keyword
IF-0120,potassium,0.3,llm
IF-0120,saturated_fat,0.8,llm
IF-0121,milk_allergen,0.9,keyword
IF-0121,nut_allergen,0.9,keyword
IF-0123,milk_allergen,0.9,keyword
IF-0123,mustard_allergen,0.5,llm
IF-0123,vitamin_k,0.9,keyword
IF-0124,milk_allergen,0.9,keyword
IF-0125,gluten_allergen,0.9,keyword
IF-0126,potassium,0.9,keyword
IF-0128,sesame_allergen,0.9,keyword
IF-0129,sodium,0.9,keyword
IF-0130,rapid_carb,0.9,keyword
IF-0131,rapid_carb,0.6,llm
IF-0131,sodium,0.9,keyword
IF-0132,mustard_allergen,0.85,llm
IF-0132,sodium,0.9,keyword
IF-0133,potassium,0.3,llm
IF-0133,sesame_allergen,0.9,keyword
IF-0133,tyramine,0.9,keyword
IF-0134,potassium,0.9,keyword
IF-0134,saturated_fat,0.9,keyword
IF-0135,added_sugar,0.9,keyword
IF-0135,mustard_allergen,0.85,llm
IF-0135,potassium,0.9,keyword
IF-0136,mustard_allergen,0.85,llm
IF-0136,potassium,0.3,llm
IF-0137,mustard_allergen,0.85,llm
IF-0137,vitamin_k,0.9,keyword
IF-0139,potassium,0.9,keyword
IF-0140,tyramine,0.9,keyword
IF-0140,vitamin_k,0.9,keyword
IF-0141,added_sugar,0.55,llm
IF-0142,rapid_carb,0.6,llm
IF-0143,added_sugar,0.9,keyword
IF-0143,rapid_carb,0.6,llm
IF-0143,sesame_allergen,0.9,keyword
IF-0144,potassium,0.3,llm
IF-0145,potassium,0.9,keyword
IF-0145,rapid_carb,0.6,llm
IF-0146,milk_allergen,0.9,keyword
IF-0146,mustard_allergen,0.85,llm
IF-0146,saturated_fat,0.9,keyword
IF-0147,milk_allergen,0.9,keyword
IF-0147,sodium,0.9,keyword
IF-0148,saturated_fat,0.4,llm
IF-0149,added_sugar,0.9,keyword
IF-0149,milk_allergen,0.9,keyword
IF-0149,rapid_carb,0.6,llm
IF-0150,added_sugar,0.9,keyword
IF-0150,milk_allergen,0.9,keyword
IF-0150,nut_allergen,0.9,keyword
IF-0150,potassium,0.9,keyword
IF-0150,rapid_carb,0.6,llm
IF-0151,potassium,0.3,llm
IF-0152,rapid_carb,0.9,keyword
IF-0154,rapid_carb,0.6,llm
IF-0154,tyramine,0.9,keyword
IF-0155,mustard_allergen,0.85,llm
IF-0155,potassium,0.3,llm
IF-0156,added_sugar,0.9,keyword
IF-0156,rapid_carb,0.9,keyword
IF-0157,tyramine,0.9,keyword
IF-0158,sesame_allergen,0.9,keyword
IF-0160,milk_allergen,0.9,keyword
IF-0160,mustard_allergen,0.85,llm
IF-0160,sesame_allergen,0.9,keyword
IF-0161,sesame_allergen,0.9,keyword
IF-0161,tyramine,0.9,keyword
IF-0162,potassium,0.3,llm
IF-0162,rapid_carb,0.6,llm
IF-0162,saturated_fat,0.9,keyword
IF-0164,potassium,0.3,llm
IF-0165,added_sugar,0.9,keyword
IF-0166,mustard_allergen,0.85,llm
IF-0168,fish_allergen,0.9,llm
IF-0168,saturated_fat,0.9,keyword
IF-0169,gluten_allergen,0.9,keyword
IF-0169,potassium,0.9,keyword
IF-0169,rapid_carb,0.9,keyword
IF-0170,gluten_allergen,0.9,keyword
IF-0171,milk_allergen,0.9,keyword
IF-0171,nut_allergen,0.9,keyword
IF-0172,sesame_allergen,0.9,keyword
IF-0173,gluten_allergen,0.9,keyword
IF-0173,rapid_carb,0.9,keyword
IF-0174,gluten_allergen,0.9,keyword
IF-0174,rapid_carb,0.9,keyword
IF-0174,sesame_allergen,0.9,keyword
IF-0175,added_sugar,0.9,keyword
IF-0175,potassium,0.9,keyword
IF-0176,sodium,0.9,keyword
IF-0177,milk_allergen,0.9,keyword
IF-0177,saturated_fat,0.9,keyword
IF-0178,added_sugar,0.9,keyword
IF-0178,gluten_allergen,0.9,keyword
IF-0179,nut_allergen,0.9,keyword
IF-0179,potassium,0.5,llm
IF-0179,rapid_carb,0.5,llm
IF-0180,potassium,0.9,keyword
IF-0180,tyramine,0.9,keyword
IF-0181,mustard_allergen,0.85,llm
IF-0181,saturated_fat,0.9,keyword
IF-0182,gluten_allergen,0.9,keyword
IF-0182,rapid_carb,0.9,keyword
IF-0182,sesame_allergen,0.9,keyword
IF-0183,added_sugar,0.9,keyword
IF-0183,potassium,0.9,keyword
IF-0183,saturated_fat,0.9,keyword
IF-0184,milk_allergen,0.9,keyword
IF-0185,added_sugar,0.9,keyword
IF-0185,gluten_allergen,0.9,keyword
IF-0185,nut_allergen,0.9,keyword
IF-0185,saturated_fat,0.9,keyword
IF-0186,added_sugar,0.45,llm
IF-0186,gluten_allergen,0.9,keyword
IF-0186,nut_allergen,0.45,llm
IF-0186,rapid_carb,0.9,keyword
IF-0187,vitamin_k,0.9,keyword
IF-0188,gluten_allergen,0.9,keyword
IF-0188,milk_allergen,0.9,keyword
IF-0188,rapid_carb,0.9,keyword
IF-0189,added_sugar,0.55,llm
IF-0189,potassium,0.9,keyword
IF-0190,gluten_allergen,0.9,keyword
IF-0190,nut_allergen,0.9,keyword
IF-0191,added_sugar,0.9,keyword
IF-0192,gluten_allergen,0.9,keyword
IF-0193,sesame_allergen,0.9,keyword
IF-0194,gluten_allergen,0.9,keyword
IF-0194,rapid_carb,0.9,keyword
IF-0195,added_sugar,0.9,keyword
IF-0195,saturated_fat,0.9,keyword
IF-0196,potassium,0.3,llm
IF-0197,added_sugar,0.55,llm
IF-0197,gluten_allergen,0.9,keyword
IF-0197,rapid_carb,0.9,keyword
IF-0197,vitamin_k,0.9,keyword
IF-0198,nut_allergen,0.9,keyword
IF-0199,gluten_allergen,0.9,keyword
IF-0199,rapid_carb,0.9,keyword
IF-0199,sesame_allergen,0.9,keyword
IF-0200,added_sugar,0.9,keyword
IF-0200,sesame_allergen,0.9,keyword
IF-0201,potassium,0.9,keyword
IF-0202,potassium,0.5,llm
IF-0202,rapid_carb,0.5,llm
IF-0203,nut_allergen,0.9,keyword
IF-0203,rapid_carb,0.9,keyword
IF-0204,added_sugar,0.9,keyword
IF-0204,saturated_fat,0.5,llm
IF-0204,sodium,0.5,llm
IF-0205,added_sugar,0.9,keyword
IF-0205,potassium,0.3,llm
IF-0205,saturated_fat,0.5,llm
IF-0205,sodium,0.5,llm
IF-0206,gluten_allergen,0.9,keyword
IF-0206,rapid_carb,0.9,keyword
IF-0206,sodium,0.9,keyword
IF-0207,added_sugar,0.9,keyword
IF-0207,gluten_allergen,0.9,keyword
IF-0207,saturated_fat,0.9,keyword
IF-0208,added_sugar,0.9,keyword
IF-0208,milk_allergen,0.9,keyword
IF-0208,rapid_carb,0.6,llm
IF-0209,gluten_allergen,0.9,keyword
IF-0209,rapid_carb,0.9,keyword
IF-0209,sesame_allergen,0.9,keyword
IF-0210,potassium,0.9,keyword
IF-0211,potassium,0.9,keyword
IF-0212,alcohol,0.9,keyword
IF-0212,histamine,0.7,keyword
IF-0212,saturated_fat,0.9,keyword
IF-0213,added_sugar,0.55,llm
IF-0213,gluten_allergen,0.9,keyword
IF-0213,rapid_carb,0.9,keyword
IF-0214,added_sugar,0.9,keyword
IF-0214,sodium,0.9,keyword
IF-0215,nut_allergen,0.9,keyword
IF-0215,rapid_carb,0.9,keyword
IF-0215,sesame_allergen,0.9,keyword
IF-0215,sodium,0.9,keyword
IF-0216,gluten_allergen,0.9,keyword
IF-0216,vitamin_k,0.9,keyword
IF-0217,gluten_allergen,0.9,keyword
IF-0217,rapid_carb,0.9,keyword
IF-0217,saturated_fat,0.9,keyword
IF-0218,gluten_allergen,0.9,keyword
IF-0218,milk_allergen,0.9,keyword
IF-0218,rapid_carb,0.9,keyword
IF-0218,sesame_allergen,0.9,keyword
IF-0219,added_sugar,0.9,keyword
IF-0219,sodium,0.9,keyword
IF-0220,added_sugar,0.9,keyword
IF-0220,gluten_allergen,0.9,keyword
IF-0220,sesame_allergen,0.9,keyword
IF-0221,milk_allergen,0.9,keyword
IF-0221,rapid_carb,0.6,llm
IF-0222,added_sugar,0.9,keyword
IF-0222,rapid_carb,0.9,keyword
IF-0223,mustard_allergen,0.5,llm
IF-0224,egg_allergen,0.95,llm
IF-0224,oxalate,0.9,keyword
IF-0224,rapid_carb,0.6,llm
IF-0225,gluten_allergen,0.9,keyword
IF-0225,rapid_carb,0.9,keyword
IF-0225,saturated_fat,0.4,llm
IF-0226,fish_allergen,0.9,llm
IF-0226,mustard_allergen,0.5,llm
IF-0226,potassium,0.9,keyword
IF-0227,fish_allergen,0.9,llm
IF-0227,mustard_allergen,0.5,llm
IF-0227,potassium,0.3,llm
IF-0228,sesame_allergen,0.9,keyword
IF-0228,sodium,0.9,keyword
IF-0229,mustard_allergen,0.5,llm
IF-0229,potassium,0.9,keyword
IF-0230,nut_allergen,0.9,keyword
IF-0231,mustard_allergen,0.85,llm
IF-0232,sodium,0.9,keyword
IF-0232,soy_allergen,0.9,keyword
IF-0233,crustacean_shellfish_allergen,0.9,llm
IF-0233,milk_allergen,0.9,keyword
IF-0234,gluten_allergen,0.9,keyword
IF-0234,rapid_carb,0.9,keyword
IF-0234,saturated_fat,0.9,keyword
IF-0234,sodium,0.9,keyword
IF-0235,added_sugar,0.9,keyword
IF-0235,potassium,0.9,keyword
IF-0236,milk_allergen,0.9,keyword
IF-0237,crustacean_shellfish_allergen,0.9,llm
IF-0237,milk_allergen,0.9,keyword
IF-0239,histamine,0.7,keyword
IF-0239,mustard_allergen,0.5,llm
IF-0239,potassium,0.9,keyword
IF-0240,added_sugar,0.55,llm
IF-0240,mustard_allergen,0.5,llm
IF-0240,potassium,0.9,keyword
IF-0241,mustard_allergen,0.5,llm
IF-0241,potassium,0.5,llm
IF-0241,rapid_carb,0.5,llm
IF-0242,potassium,0.9,keyword
IF-0242,rapid_carb,0.9,keyword
IF-0242,sodium,0.6,llm
IF-0243,mustard_allergen,0.5,llm
IF-0243,potassium,0.3,llm
IF-0244,potassium,0.9,keyword
IF-0245,milk_allergen,0.9,keyword
IF-0245,rapid_carb,0.6,llm
IF-0246,sesame_allergen,0.9,keyword
IF-0247,added_sugar,0.9,keyword
IF-0247,saturated_fat,0.9,keyword
IF-0248,added_sugar,0.9,keyword
IF-0248,crustacean_shellfish_allergen,0.9,llm
IF-0248,milk_allergen,0.9,keyword
IF-0249,saturated_fat,0.9,keyword
IF-0250,potassium,0.9,keyword
IF-0251,added_sugar,0.9,keyword
IF-0251,sesame_allergen,0.9,keyword
IF-0252,egg_allergen,0.9,keyword
IF-0252,gluten_allergen,0.9,keyword
IF-0252,milk_allergen,0.9,keyword
IF-0252,rapid_carb,0.9,keyword
IF-0252,saturated_fat,0.9,keyword
IF-0253,milk_allergen,0.9,keyword
IF-0253,nut_allergen,0.9,keyword
IF-0253,potassium,0.9,keyword
IF-0254,added_sugar,0.45,llm
IF-0254,gluten_allergen,0.9,keyword
IF-0254,milk_allergen,0.9,keyword
IF-0254,nut_allergen,0.45,llm
IF-0254,rapid_carb,0.9,keyword
PF-1,added_sugar,0.9,keyword
PF-1,gluten_allergen,0.9,keyword
PF-1,rapid_carb,0.9,keyword
PF-1,saturated_fat,0.9,keyword
PF-1,sodium,0.9,keyword
PF-1,soy_allergen,0.9,keyword
PF-10,added_sugar,0.9,keyword
PF-10,gluten_allergen,0.9,keyword
PF-10,milk_allergen,0.9,keyword
PF-10,nut_allergen,0.9,keyword
PF-10,rapid_carb,0.9,keyword
PF-10,saturated_fat,0.9,keyword
PF-10,sodium,0.9,keyword
PF-100,added_sugar,0.9,keyword
PF-100,gluten_allergen,0.9,keyword
PF-100,rapid_carb,0.9,keyword
PF-100,saturated_fat,0.9,keyword
PF-100,sodium,0.9,keyword
PF-100,soy_allergen,0.9,keyword
PF-100,trans_fat,0.9,keyword
PF-101,added_sugar,0.9,keyword
PF-101,gluten_allergen,0.9,keyword
PF-101,milk_allergen,0.9,keyword
PF-101,nut_allergen,0.9,keyword
PF-101,rapid_carb,0.9,keyword
PF-101,saturated_fat,0.9,keyword
PF-101,sodium,0.9,keyword
PF-101,soy_allergen,0.9,keyword
PF-102,added_sugar,0.9,keyword
PF-102,gluten_allergen,0.9,keyword
PF-102,milk_allergen,0.9,keyword
PF-102,nut_allergen,0.9,keyword
PF-102,rapid_carb,0.9,keyword
PF-102,saturated_fat,0.9,keyword
PF-102,sodium,0.9,keyword
PF-102,soy_allergen,0.9,keyword
PF-103,added_sugar,0.9,keyword
PF-103,gluten_allergen,0.9,keyword
PF-103,milk_allergen,0.9,keyword
PF-103,potassium,0.9,keyword
PF-103,rapid_carb,0.9,keyword
PF-103,saturated_fat,0.9,keyword
PF-103,sodium,0.9,keyword
PF-103,soy_allergen,0.9,keyword
PF-104,added_sugar,0.9,keyword
PF-104,sodium,0.35,llm
PF-105,added_sugar,0.9,keyword
PF-105,potassium,0.9,keyword
PF-105,sodium,0.35,llm
PF-106,added_sugar,0.9,keyword
PF-106,potassium,0.9,keyword
PF-107,added_sugar,0.55,llm
PF-108,added_sugar,0.9,keyword
PF-108,potassium,0.7,keyword
PF-108,sodium,0.9,keyword
PF-109,added_sugar,0.9,keyword
PF-109,sodium,0.35,llm
PF-11,added_sugar,0.9,keyword
PF-11,gluten_allergen,0.9,keyword
PF-11,milk_allergen,0.9,keyword
PF-11,rapid_carb,0.9,keyword
PF-11,saturated_fat,0.9,keyword
PF-11,sodium,0.9,keyword
PF-110,added_sugar,0.9,keyword
PF-110,sodium,0.9,keyword
PF-111,added_sugar,0.9,keyword
PF-111,sodium,0.9,keyword
PF-112,added_sugar,0.9,keyword
PF-112,potassium,0.9,keyword
PF-112,sodium,0.9,keyword
PF-113,caffeine,0.9,keyword
PF-113,sodium,0.35,llm
PF-114,added_sugar,0.9,keyword
PF-114,sodium,0.9,keyword
PF-115,added_sugar,0.9,keyword
PF-116,added_sugar,0.9,keyword
PF-116,sodium,0.35,llm
PF-117,added_sugar,0.9,keyword
PF-117,sodium,0.9,keyword
PF-118,added_sugar,0.9,keyword
PF-118,potassium,0.9,keyword
PF-118,sodium,0.9,keyword
PF-119,added_sugar,0.9,keyword
PF-119,potassium,0.9,keyword
PF-119,rapid_carb,0.9,keyword
PF-12,added_sugar,0.9,keyword
PF-12,gluten_allergen,0.9,keyword
PF-12,milk_allergen,0.9,keyword
PF-12,rapid_carb,0.9,keyword
PF-12,saturated_fat,0.4,llm
PF-12,sodium,0.9,keyword
PF-120,added_sugar,0.9,keyword
PF-120,potassium,0.9,keyword
PF-121,added_sugar,0.9,keyword
PF-122,added_sugar,0.9,keyword
PF-122,sodium,0.9,keyword
PF-123,added_sugar,0.9,keyword
PF-123,potassium,0.9,keyword
PF-123,sodium,0.9,keyword
PF-124,added_sugar,0.9,keyword
PF-125,added_sugar,0.9,keyword
PF-125,sodium,0.9,keyword
PF-126,added_sugar,0.8,llm
PF-127,added_sugar,0.9,keyword
PF-127,sodium,0.35,llm
PF-128,added_sugar,0.9,keyword
PF-129,added_sugar,0.8,llm
PF-13,added_sugar,0.9,keyword
PF-13,caffeine,0.3,llm
PF-13,gluten_allergen,0.9,keyword
PF-13,milk_allergen,0.9,keyword
PF-13,rapid_carb,0.9,keyword
PF-13,saturated_fat,0.9,keyword
PF-13,sodium,0.9,keyword
PF-13,soy_allergen,0.9,keyword
PF-130,added_sugar,0.9,keyword
PF-130,sodium,0.9,keyword
PF-131,added_sugar,0.9,keyword
PF-132,added_sugar,0.9,keyword
PF-132,potassium,0.9,keyword
PF-132,sodium,0.9,keyword
PF-133,added_sugar,0.9,keyword
PF-133,rapid_carb,0.9,keyword
PF-134,added_sugar,0.9,keyword
PF-135,added_sugar,0.8,llm
PF-136,added_sugar,0.9,keyword
PF-137,added_sugar,0.9,keyword
PF-138,added_sugar,0.9,keyword
PF-138,rapid_carb,0.9,keyword
PF-138,sodium,0.9,keyword
PF-139,added_sugar,0.9,keyword
PF-14,gluten_allergen,0.9,keyword
PF-14,milk_allergen,0.9,keyword
