ingredient_clean,risk_compounds,confidence,method,rationale
nature-identical,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
hydrolysed vegetable protein,sodium,0.6,llm,"HVP - manufactured with salt, high free glutamate; sodium load"
strawberry,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
besan,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
lemon juice,added_sugar,0.55,llm,single-strength fruit juice - free sugars with fibre removed
green peas,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
refined sunflower oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
orange,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
vitamin c,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
mustard oil,mustard_allergen,0.5,llm,mustard oil - refined form is low-protein; flag low for mustard-allergic users
leavening agents,sodium,0.35,llm,often sodium-based salts (citrate/bicarbonate) - low-confidence sodium
tomato powder,potassium,0.5,llm,concentrated tomato - notable potassium
carrot,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
hydrogenated vegetable fat,saturated_fat;trans_fat,0.7,llm,"hydrogenated fat - saturated, possible residual trans fat"
minerals,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
cumin powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
black pepper powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
turmeric powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
nuts,nut_allergen,0.85,llm,'nuts' plural / mixed-nut blend
garam masala powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
olive oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
mango,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
ginger powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
of vegetable origin,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
rolled oats,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
mango pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
maltitol,none,,llm,sugar alcohol / high-intensity sweetener - not a free-sugar or glycaemic driver
added flavour,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
synthetic food colours,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
fractionated fat,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
sweetener,none,,llm,sugar alcohol / high-intensity sweetener - not a free-sugar or glycaemic driver
hydrolyzed vegetable protein,sodium,0.6,llm,"HVP - manufactured with salt, high free glutamate; sodium load"
oregano,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
desiccated coconut,none,,llm,coconut - excluded from nut_allergen by design (low cross-reactivity); revisit per user allergy profile
interesterified vegetable fat,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
mineral,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
cake gel,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
mustard seeds,mustard_allergen,0.85,llm,mustard seed / powder / paste - labelled allergen
dough conditioner,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
pectin,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
millets,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
corn,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
malic acid,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
humectants,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
papaya,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
vegetable oil,saturated_fat,0.4,llm,unspecified 'vegetable oil' in Indian packaged food is frequently palm - low-confidence saturated_fat
nature identical flavour,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
dark chocolate,added_sugar;saturated_fat,0.6,llm,chocolate/compound coating - sugar plus cocoa-butter/tropical fat; trace caffeine
stevia,none,,llm,sugar alcohol / high-intensity sweetener - not a free-sugar or glycaemic driver
refined vegetable oil,saturated_fat,0.4,llm,unspecified 'vegetable oil' in Indian packaged food is frequently palm - low-confidence saturated_fat
cardamom powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
tomatoes,potassium,0.3,llm,fresh tomato - modest potassium
moong dal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
mono,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
oats flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
sunflower,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
apple,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
apple juice concentrate,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
flour,rapid_carb;gluten_allergen,0.7,llm,unqualified 'flour' in biscuits/bakery is refined wheat flour
fennel seeds,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
chillies,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
jowar flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
eggs,egg_allergen,0.95,llm,plural of egg - word-boundary alias missed it
sweeteners,none,,llm,sugar alcohol / high-intensity sweetener - not a free-sugar or glycaemic driver
dietary fiber,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
leavening agent,sodium,0.35,llm,often sodium-based salts (citrate/bicarbonate) - low-confidence sodium
hydrogenated,saturated_fat;trans_fat,0.7,llm,"hydrogenated fat - saturated, possible residual trans fat"
improver,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
nature-identical flavouring substances,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
pineapple,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
apple juice,added_sugar,0.55,llm,single-strength fruit juice - free sugars with fibre removed
jowar,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
clove powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
fruit pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
celery,none,,llm,celery - naturally sodium-bearing but quantities here are trivial
chicken meat,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
green cardamom,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
dry fruits,nut_allergen;added_sugar,0.45,llm,in Indian usage 'dry fruits' usually means nuts + dried sweetened fruit
peas,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
chicken,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
green chilies,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
capsicum,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
grated coconut,none,,llm,coconut - excluded from nut_allergen by design (low cross-reactivity); revisit per user allergy profile
rice flakes,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
red chillies,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
oats,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
fatty acid esters of glycerol,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
nata de coco,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
purified water,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
corn meal,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
corn grits,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
rice bran,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
centre filling,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
flavouring,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
black cardamom,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
noodles,rapid_carb;sodium,0.55,llm,"wheat noodle block - refined carb, salted"
oil,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
chhena,milk_allergen,0.85,llm,milk-derived solid / typo of 'milk solids'
chickpeas,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
onions,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
chili powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
green chili,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
beans,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
artificial flavouring substance,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
edible vegetable oils,saturated_fat,0.4,llm,unspecified 'vegetable oil' in Indian packaged food is frequently palm - low-confidence saturated_fat
rosemary extract,none,,llm,reviewed (antioxidants/preservatives (non-sodium)) - no food-drug risk compound
glycerine,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
natural food colour,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
hydrogenated vegetable fats,saturated_fat;trans_fat,0.7,llm,"hydrogenated fat - saturated, possible residual trans fat"
cinnamon powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
nature identical flavouring substance,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
flavoring substances,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
raspberry,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
guava pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
vitamin e,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
nature-identical flavouring substance,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
acidulant,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
allergen information,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
vegetable fat,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
dehydrated onion,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
makhana,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
aniseed,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
basil,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cotton seed oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
basmati rice,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
hot water,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
arhar dal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
bottle gourd,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
chickpea flour,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
dark chocolate chips,added_sugar;saturated_fat,0.6,llm,chocolate/compound coating - sugar plus cocoa-butter/tropical fat; trace caffeine
custard powder,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
glucose,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
orange peel,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
orange powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
diacetyltartaric,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
artificial vanilla cake,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
riboflavin,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
flour treatment agents,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
orange juice,added_sugar,0.55,llm,single-strength fruit juice - free sugars with fibre removed
orange pulp,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
vitamin d2,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
ergocalciferol,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
guava,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
stabilizing agent,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
artificial flavour,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
vegetables,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cookies,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
acetic acid,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
rice grits,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
garlic paste,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
fenugreek powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
dried ginger powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
nutmeg powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
fractionated vegetable fat,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
low fat cocoa powder,none,,llm,"defatted cocoa powder - negligible sugar/fat, trace stimulant"
nature identical and artificial,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
center,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
cocoa nibs,caffeine,0.3,llm,cocoa solids carry small amounts of caffeine/theobromine
added nature identical flavouring substance,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
cereal extract,none,,llm,generic 'cereal' - too vague to assign; often whole grain
pumpkin,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
dehydrated vegetables,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cloves,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
seeds,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
carrots,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cucumber,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
fish,fish_allergen,0.9,llm,finned fish protein
sweet,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
green chillies,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
red onion,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
low fat,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
sev,sodium;saturated_fat,0.5,llm,sev - deep-fried salted besan noodles
fresh coconut,none,,llm,coconut - excluded from nut_allergen by design (low cross-reactivity); revisit per user allergy profile
raw rice,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
pomegranate,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
toor dal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
di-glycerides of fatty acids,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
carrageenan,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
oats fibre,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
chocolate chips,added_sugar;saturated_fat,0.6,llm,chocolate/compound coating - sugar plus cocoa-butter/tropical fat; trace caffeine
diglycerides of fatty acids,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
cranberry,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
ammonium bicarbonate,none,,llm,ammonium (not sodium) leavening salt
fructooligosaccharide,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
quinoa,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
vanilla cake essence,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
cherry,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cumin seeds,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
improvers,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
lemon juice concentrate,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
class preservatives,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
orange juice concentrate,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
synthetic colour,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
vitamin b2,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
added water,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
rice meal,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
refined rice bran oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
herb,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
natural flavouring substance,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
lemon powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
degermed corn grits,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
cumin seed powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
mustard powder,mustard_allergen,0.85,llm,mustard seed / powder / paste - labelled allergen
sorghum,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
dried garlic,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
coriander leaves,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
carom seeds,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
mint leaves,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
protein,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
bay leaves,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
500ii,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
artificial vanilla cake flavouring substances,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
flavourings,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
watermelon,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
rice starch,rapid_carb,0.7,llm,refined starch - rapidly digested
and added flavour,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
as ascorbic acid,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
artificial food colours,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
and flavouring substances,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
dehydrated herb,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
masala tastemaker,sodium,0.6,llm,snack/noodle 'tastemaker' seasoning - salt + MSG heavy
edible vegetable fat-interesterified,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
bengal gram,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
sweet corn,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
added flavour - nature identical,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
outer layer,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
inner layer,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
khoa,milk_allergen,0.85,llm,milk-derived solid / typo of 'milk solids'
amchur powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
dough,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
malai,milk_allergen;saturated_fat,0.8,llm,cream / malai - milk protein plus milk fat
khus khus,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
edible gum,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
filling,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
thick poha,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
sambar powder,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
aloo,potassium;rapid_carb,0.5,llm,potato - potassium plus high-GI starch
green,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
sorghum flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
ridge gourd,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
mono and diglycerides of fatty acids,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
quinoa flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
choco covering,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
nature-identical flavour,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
cranberries,potassium;added_sugar;sulphite_allergen,0.4,llm,dried fruit - potassium; usually sweetened; often sulphited
bajra flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
fructooligosaccharides,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
oat flour,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
cereal products,none,,llm,generic 'cereal' - too vague to assign; often whole grain
processing aid,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
sodium,sodium,0.75,llm,explicit sodium salt / 'iodised' fragment
oat flakes,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
blueberry,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
citrus fiber,none,,llm,reviewed (gums/fibres) - no food-drug risk compound
stevia glycosides,none,,llm,sugar alcohol / high-intensity sweetener - not a free-sugar or glycaemic driver
natural flavoring substances,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
juice concentrate,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
food colors,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
pineapple pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
litchi pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
pomegranate juice,added_sugar,0.55,llm,single-strength fruit juice - free sugars with fibre removed
concentrated mixed fruit juice,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
alphonso mango pulp,added_sugar,0.4,llm,"fruit pulp/puree - intrinsic sugars, some fibre retained"
mix berry juice,added_sugar,0.55,llm,single-strength fruit juice - free sugars with fibre removed
synthetic colours,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
taurine,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
acid,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
mineral salts,sodium,0.35,llm,often sodium-based salts (citrate/bicarbonate) - low-confidence sodium
flavour emulsion,none,,llm,reviewed (emulsifiers/additives) - no food-drug risk compound
acetate,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
mik solids,milk_allergen,0.85,llm,milk-derived solid / typo of 'milk solids'
vitamin b1,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
potable water,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
millet,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
mixed fruit jam,added_sugar,0.8,llm,juice concentrate / jam / candied fruit / syrup - concentrated free sugars
high maltose syrup,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
enzyme,none,,llm,reviewed (enzymes) - no food-drug risk compound
xylanase,none,,llm,reviewed (enzymes) - no food-drug risk compound
and,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
dark choco chips,added_sugar;saturated_fat,0.6,llm,chocolate/compound coating - sugar plus cocoa-butter/tropical fat; trace caffeine
sodium acetate,sodium,0.75,llm,explicit sodium salt / 'iodised' fragment
vegetable,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
corn grit,rapid_carb,0.8,llm,corn starch / glucose / maltose syrup - high glycaemic
paprika extract,none,,llm,reviewed (antioxidants/preservatives (non-sodium)) - no food-drug risk compound
gram meal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
fat powder,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
dry mango,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
cereals,none,,llm,generic 'cereal' - too vague to assign; often whole grain
bengal gram grits,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
tartaric acid,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
dehydrated vegetable powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
seasoning mix,sodium,0.6,llm,snack/noodle 'tastemaker' seasoning - salt + MSG heavy
whole grain jowar,none,,llm,"whole grain / millet / pseudo-cereal - low-to-moderate GI, kept untagged"
jalapeno,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
foxnut,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
paprika,none,,llm,reviewed (spices/herbs (trivial quantity)) - no food-drug risk compound
energy,none,,llm,reviewed (acids / misc GRAS) - no food-drug risk compound
dried mango powder,none,,llm,"reviewed (produce (fresh veg/fruit, low risk)) - no food-drug risk compound"
