active_ingredient,medicine_count,drug_class,method,top_sub_category
lidocaine,375,Local anaesthetic,lookup,Anaesthetics Local
propranolol,369,Beta blocker,lookup,Tranquillisers
methotrexate,364,Immunosuppressant / DMARD,lookup,Antimetabolites
dimethicone,364,Antiflatulent,lookup,Antacids Antiflatulents And Carminatives
amikacin,361,Aminoglycoside,lookup,Ophthalmological Anti Infectives Medicines
ranitidine,361,H2 receptor antagonist,lookup,Anti Ulcerants H2 Antagonists
tacrolimus,360,Immunosuppressant (calcineurin / mTOR),lookup,Immunosuppressive Agents
artesunate,357,Antimalarial,lookup,Other Anti Malarials
ethinyl estradiol,347,Estrogen,lookup,Hormonal Contraceptives Systemic
chloroquine,346,Antimalarial,lookup,Ophthalmological Anti Infectives Medicines
framycetin,346,Aminoglycoside,lookup,Ophthalmological Anti Infectives Medicines
erythromycin,346,Macrolide,lookup,Ophthalmological Anti Infectives Medicines
clomiphene,340,Selective estrogen receptor modulator,lookup,Gonadotrophins Including Other Ovulation Stimulants
formoterol,336,Beta-2 agonist (bronchodilator),lookup,Bronchodilators
magnesium,334,Mineral / electrolyte supplement,llm,All Other Anti Ulcerants
cilnidipine,328,Calcium channel blocker (dihydropyridine),lookup,Angiotensin Ii Antagonists Calcium Antagonists
quetiapine,320,Atypical antipsychotic,lookup,Atypical Antipsychotics
diphenoxylate,316,Antimotility agent,lookup,Intestinal Anti Infective Antidiarrhoeals
hydrocortisone,312,Corticosteroid,lookup,Ophthalmological Anti Infectives Medicines
prednisolone,309,Corticosteroid,lookup,Eye Ear Corticosteroids
piroxicam,306,NSAID,lookup,Topical Anti Rheumatic Non Steroidal
ethambutol,304,Antitubercular,lookup,Antitubercular Products
flunarizine,300,Calcium channel blocker (antivertigo/migraine),lookup,Antivertigo Products
levetiracetam,296,Antiepileptic,lookup,Anti Epileptics
divalproex,296,Antiepileptic,lookup,Anti Epileptics
diphenhydramine,291,Antihistamine (1st generation),lookup,Systemic Antihistamines
lincomycin,288,Lincosamide,lookup,Macrolides And Similar Types
metoprolol succinate,288,Beta blocker,llm,Angiotensin Ii Antagonists Beta Blockers
thyroxine,288,Thyroid hormone,lookup,Thyroid Preparation
lansoprazole,287,Proton pump inhibitor,lookup,Anti Ulcerants Acid Pump Inhibitors
dutasteride,287,5-alpha reductase inhibitor,lookup,Benign Prostatic Hypertrophy Bph Products
niacinamide,278,Vitamin B3 (niacin),llm,Methylcobalamin Combinations
melatonin,277,Melatonergic hypnotic,llm,Hypnotics Sedatives
dicloxacillin,272,Penicillin,lookup,Broad Spectrum Penicillins
ethamsylate,272,Antifibrinolytic / haemostatic,lookup,Antifibrinolytics
dimenhydrinate,270,Antihistamine (1st generation),lookup,Antivertigo Products
hydrochlorothiazide,269,Thiazide / thiazide-like diuretic,lookup,Ace Inhibitors Combined With Diuretics
flupenthixol,266,Typical antipsychotic,lookup,Conventional Antipsychotics
levonorgestrel,264,Progestogen,lookup,Hormonal Contraceptives Systemic
glucosamine,260,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
cinitapride,256,Prokinetic,subcategory,Gastroprokinetics
aripiprazole,256,Atypical antipsychotic,lookup,Atypical Antipsychotics
arteether,255,Antimalarial,lookup,Other Anti Malarials
griseofulvin,250,Antifungal (griseofulvin),lookup,Systemic Agents For Fungal Infections
fusidic acid,250,Topical antibacterial (acne/skin),lookup,Topical Antibiotics And Or Sulphonamids
bacitracin,249,,unmapped,Ophthalmological Anti Infectives Medicines
nicotinamide,248,Vitamin B3 (niacin),llm,Topical Anti Acne Preparations
zolpidem,247,Z-drug hypnotic,lookup,Hypnotics Sedatives
stanozolol,245,Anabolic steroid,lookup,Anabolic Hormones Systemic
codeine,240,Opioid analgesic,lookup,Antitussives With Codeine
trifluoperazine,237,Typical antipsychotic,lookup,Conventional Antipsychotics
pyrazinamide,228,Antitubercular,lookup,Antitubercular Products
menthol,228,Counterirritant / topical analgesic,llm,Other Cough Cold Preparations
penicillin g,224,Penicillin,lookup,Medium And Narrow Spectrum Penicillins
enoxaparin,224,Heparin / low-molecular-weight heparin,stem,Heparins
isoxsuprine,224,Tocolytic,llm,Labour Inhibitors
nepafenac,224,NSAID (ophthalmic),llm,Opthalmological Nsaids
silodosin,220,Alpha-1 blocker (uroselective),lookup,Benign Prostatic Hypertrophy Bph Products
adapalene,219,Topical retinoid,lookup,Topical Anti Acne Preparations
ammonium chloride,219,Expectorant,llm,Other Cough Cold Preparations
benfotiamine,217,Vitamin B1,lookup,Methylcobalamin Combinations
lactulose,216,Osmotic laxative,lookup,Softners Emollients
mometasone,214,Corticosteroid,lookup,Topical Dermatological Antifungals
diazepam,213,Benzodiazepine,lookup,Tranquillisers
mupirocin,211,Topical antibacterial (acne/skin),lookup,Topical Antibiotics And Or Sulphonamids
taurine,210,Amino acid / nutritional,lookup,Oral Antidiabetics
voglibose,210,Alpha-glucosidase inhibitor,lookup,Oral Antidiabetics
glipizide,210,Sulfonylurea (antidiabetic),lookup,Oral Antidiabetics
canagliflozin,210,SGLT2 inhibitor,lookup,Oral Antidiabetics
salicylic acid,210,Keratolytic,lookup,Topical Corticosteroid Combinations
salmeterol,210,Beta-2 agonist (bronchodilator),lookup,Bronchodilators
enalapril,208,ACE inhibitor,lookup,Ace Inhibitors Plain
olmesartan medoxomil,208,Angiotensin receptor blocker (ARB),llm,Angiotensin Ii Antagonists Calcium Antagonists
clidinium,207,Antispasmodic (anticholinergic/musculotropic),lookup,Antispasmodic Ataractic Combinations
desloratadine,207,Antihistamine (2nd generation),lookup,Systemic Antihistamines
sodium citrate,205,Electrolyte / rehydration,lookup,Other Cough Cold Preparations
loratadine,205,Antihistamine (2nd generation),lookup,Systemic Antihistamines
pyrimethamine,204,Antimalarial,lookup,Other Anti Malarials
sulphadoxine,204,,unmapped,Other Anti Malarials
human chorionic gonadotropin,204,Gonadotropin,llm,Gonadotrophins Including Other Ovulation Stimulants
sodium picosulfate,203,Stimulant laxative,lookup,Contact Laxatives
levo-carnitine,198,Amino acid / nutritional,llm,Other Nutrients
prochlorperazine,198,Dopamine antagonist antiemetic,lookup,Other Antiemetics And Antinauseants
dapoxetine,198,SSRI,stem,Erectile Dysfunction Products
recombinant human erythropoietin alfa,196,Erythropoiesis-stimulating agent,llm,Erythropoietin Products
tadalafil,195,PDE5 inhibitor,lookup,Erectile Dysfunction Products
mirtazapine,194,Atypical antidepressant,lookup,Anti Depressants And Mood Stabilisers
duloxetine,194,SNRI,lookup,Anti Depressants And Mood Stabilisers
desvenlafaxine,194,SNRI,lookup,Anti Depressants And Mood Stabilisers
melitracen,190,Tricyclic antidepressant,llm,Conventional Antipsychotics
pancreatin,189,Digestive enzyme (pancreatic),lookup,Pancreatic Enzymes
lactobacillus,188,Tetracycline,subcategory,Tetracyclines And Combinations
methyl sulfonyl methane,180,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
doxofylline,177,Methylxanthine bronchodilator,lookup,Bronchodilators
rosuvastatin,176,Statin (HMG-CoA reductase inhibitor),lookup,Platelet Aggregation Inhibitors
medroxyprogesterone acetate,176,Progestogen,llm,Hormonal Contraceptives Systemic
ipratropium,174,Antimuscarinic bronchodilator,lookup,Bronchodilators
paclitaxel,170,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
diacerein,170,NSAID,lookup,Products For Treatment Of Osteoarthritis
tolnaftate,168,Topical antifungal,llm,Topical Corticosteroid Combinations
sodium chloride,167,Electrolyte / rehydration,lookup,Respiratory Stimulants
donepezil,165,Cholinesterase inhibitor,lookup,Anti Alzheimer Products
tobramycin,165,Aminoglycoside,lookup,Eye Ear Anti Infectives
hydroxypropylmethylcellulose,163,Ocular lubricant,llm,Opthalmological Surgical Aids
loteprednol etabonate,162,Corticosteroid,llm,Eye Ear Anti Infectives Corticosteroid Combinations
trimethoprim,160,Dihydrofolate reductase inhibitor,lookup,Trimethoprim And Similar Formulations
letrozole,160,Aromatase inhibitor,lookup,Cytostatic Hormone Antagonists
racecadotril,160,Antimotility agent,lookup,All Other Antidiarrhoeals
magaldrate,160,Antacid,lookup,All Other Anti Ulcerants
colistin sulphate,158,Polymyxin,llm,Intestinal Anti Infective Antidiarrhoeals
furazolidone,158,Nitrofuran antibacterial,lookup,Intestinal Anti Infective Antidiarrhoeals
colistimethate sodium,158,Polymyxin,llm,Intestinal Anti Infective Antidiarrhoeals
clioquinol,156,Amphenicol,lookup,Topical Corticosteroid Combinations
tolperisone,156,Skeletal muscle relaxant,lookup,Muscle Relaxants Centrally Acting
nitazoxanide,154,Antiprotozoal (other),lookup,Schistosomicides
vitamin d3,152,Vitamin D analogue,lookup,Other Vitamins
mycophenolate mofetil,150,Immunosuppressant / DMARD,lookup,Immunosuppressive Agents
lactitol,149,Osmotic laxative,lookup,Bulk Producers
phenytoin,148,Antiepileptic,lookup,Anti Epileptics
clobazam,148,Benzodiazepine,lookup,Anti Epileptics
oxcarbazepine,148,Antiepileptic,lookup,Anti Epileptics
carbamazepine,148,Antiepileptic,lookup,Anti Epileptics
phenobarbitone,148,Barbiturate,lookup,Anti Epileptics
topiramate,148,Antiepileptic,lookup,Anti Epileptics
orlistat,147,Lipase inhibitor (anti-obesity),llm,Antiobesity Preparations Excluding Dietetics
levodropropizine,147,Antitussive,llm,Other Cough Cold Preparations
roxithromycin,144,Macrolide,lookup,Macrolides And Similar Types
hydroxyurea,144,Cytotoxic chemotherapy,llm,All Other Antineoplastics
promethazine,144,Antihistamine (1st generation),lookup,Other Antiemetics And Antinauseants
losartan,142,Angiotensin receptor blocker (ARB),lookup,Angiotensin Ii Antagonists Calcium Antagonists
xylometazoline,142,Nasal / systemic decongestant (sympathomimetic),lookup,Topical Nasal Preparations Non Steroidal
sulfamethoxazole,136,Sulfonamide antibacterial,lookup,Trimethoprim And Similar Formulations
liquid paraffin,136,Emollient / barrier,lookup,Contact Laxatives
methylphenidate,136,Stimulant / wakefulness agent,lookup,Nootropics
midazolam,136,Benzodiazepine,lookup,Tranquillisers
secnidazole,135,Nitroimidazole antimicrobial,lookup,Gynaecological Antibiotics Sulphonamides
benzoyl peroxide,135,Keratolytic,lookup,Topical Anti Acne Preparations
azelastine,135,Antihistamine H1 (ocular),lookup,Topical Nasal Preparations Steroidal
misoprostol,134,Prostaglandin analogue (GI),lookup,Anti Ulcerants Prostaglandins
haloperidol,133,Typical antipsychotic,lookup,Conventional Antipsychotics
flavoxate,132,Overactive bladder agent,lookup,Fluoroquinolones
ticagrelor,132,Antiplatelet (P2Y12 inhibitor),lookup,Platelet Aggregation Inhibitors
chlorpromazine,132,Typical antipsychotic,lookup,Conventional Antipsychotics
clozapine,128,Atypical antipsychotic,lookup,Atypical Antipsychotics
amisulpride,128,Atypical antipsychotic,lookup,Atypical Antipsychotics
naphazoline,127,Nasal / systemic decongestant (sympathomimetic),lookup,Ocular Anti Allergics Decongestants Antiseptics
l-ornithine l-aspartate,126,Hepatoprotective,lookup,Hepatic Protectors Lipotropics
pentazocine,126,Opioid analgesic,lookup,Non Narcotics And Anti Pyretics
sodium bicarbonate,124,Antacid,lookup,Antacids Antiflatulents And Carminatives
olopatadine,124,Antihistamine H1 (ocular),lookup,Opthalmological Nsaids
atorvastatin,121,Statin (HMG-CoA reductase inhibitor),lookup,Platelet Aggregation Inhibitors
memantine,121,NMDA receptor antagonist,lookup,Anti Alzheimer Products
tenofovir disoproxil fumarate,120,Antiretroviral,lookup,Hiv Antivirals
cyclophosphamide,120,Cytotoxic chemotherapy,llm,Alkylating Agents
loperamide,120,Antimotility agent,lookup,Motility Inhibitors
mebeverine,120,Antispasmodic (anticholinergic/musculotropic),lookup,Plain Antispasmodics And Anticholinergics
timolol,120,Beta blocker,stem,Miotics And Antiglaucoma Preparations
dosulepin,119,Tricyclic antidepressant,lookup,All Other Cns Drugs
finasteride,119,5-alpha reductase inhibitor,lookup,Benign Prostatic Hypertrophy Bph Products
sevelamer,114,Phosphate binder,lookup,Hyperkalaemia Hyperphosphataemia Products
nitrofurantoin,114,Nitrofuran antibacterial,lookup,Urinary Anti Infectives And Antiseptics
fosfomycin,112,Fosfomycin,lookup,Other Antibacterials
doxorubicin,112,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
silymarin,112,Hepatoprotective,lookup,Hepatic Protectors Lipotropics
famotidine,110,H2 receptor antagonist,lookup,Anti Ulcerants H2 Antagonists
ferric carboxymaltose,110,Iron supplement,lookup,Haematinics Iron And All Combinations
iron sucrose,110,Iron supplement,llm,Haematinics Iron And All Combinations
chlorthalidone,105,Thiazide / thiazide-like diuretic,lookup,Angiotensin Ii Antagonists Combined With Anti Hypertensives
cerebroprotein hydrolysate,105,Nootropic / neurotrophic,llm,All Other Cns Drugs
amorolfine,104,Topical antifungal,llm,Topical Dermatological Antifungals
sertaconazole,104,Azole antifungal,lookup,Topical Dermatological Antifungals
primaquine,102,Antimalarial,lookup,Other Anti Malarials
glycopyrrolate,102,Antimuscarinic bronchodilator,lookup,Plain Antispasmodics And Anticholinergics
ademetionine,102,Hepatoprotective,lookup,Other Nutrients
buclizine,100,Antihistamine (1st generation),lookup,Appetite Stimulants
mifepristone,99,Antiprogestogen,llm,Other Sex Hormones And Similar Products
potassium citrate,99,Electrolyte / rehydration,lookup,All Other Urological Products
estradiol,97,Estrogen,lookup,Hormonal Contraceptives Systemic
imipramine,97,Tricyclic antidepressant,lookup,Anti Depressants And Mood Stabilisers
lithium carbonate,97,Mood stabiliser,lookup,Anti Depressants And Mood Stabilisers
imipenem,96,Carbapenem,lookup,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
cilastatin,96,Statin (HMG-CoA reductase inhibitor),stem,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
camylofin,96,Antispasmodic (anticholinergic/musculotropic),lookup,Plain Antispasmodics And Anticholinergics
baclofen,96,Skeletal muscle relaxant,lookup,Muscle Relaxants Centrally Acting
choline salicylate,96,,unmapped,Other Stomatologicals
benzocaine,95,Local anaesthetic,lookup,Other Otologicals
polyethylene glycol,94,Osmotic laxative,lookup,Artificial Tears And Ocular Lubricants
armodafinil,92,Stimulant / wakefulness agent,lookup,Nootropics
propylene glycol,91,Ocular lubricant,llm,Artificial Tears And Ocular Lubricants
imatinib mesylate,90,Kinase inhibitor,llm,All Other Antineoplastics
etoposide,90,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
levodopa,90,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
tapentadol,90,Opioid analgesic,lookup,Narcotics
temozolomide,88,Cytotoxic chemotherapy,llm,Alkylating Agents
