alias,risk_compound,match_type,notes
high fructose corn syrup,added_sugar,substring,
hfcs,added_sugar,word,
corn syrup,added_sugar,substring,
fruit juice concentrate,added_sugar,substring,
fruit concentrate,added_sugar,substring,
date syrup,added_sugar,substring,
malt syrup,added_sugar,substring,
honey powder,added_sugar,substring,
maida,rapid_carb,substring,also gluten_allergen
refined wheat flour,rapid_carb,substring,also gluten_allergen
refined flour,rapid_carb,substring,
plain flour,rapid_carb,substring,
all purpose flour,rapid_carb,substring,
cornflour,rapid_carb,substring,
corn flour,rapid_carb,substring,
corn starch,rapid_carb,substring,
cornstarch,rapid_carb,substring,
maize starch,rapid_carb,substring,
modified starch,rapid_carb,substring,
modified food starch,rapid_carb,substring,
tapioca starch,rapid_carb,substring,
potato starch,rapid_carb,substring,
wheat starch,rapid_carb,substring,also gluten
sabudana,rapid_carb,substring,
sago,rapid_carb,substring,
dextrose,rapid_carb,substring,also added_sugar-like
dextrin,rapid_carb,substring,
maltodextrin,rapid_carb,substring,
liquid glucose,rapid_carb,substring,
glucose syrup,rapid_carb,substring,
glucose solids,rapid_carb,substring,
starch syrup solids,rapid_carb,substring,
glucose polymer,rapid_carb,substring,
rice flour,rapid_carb,substring,
white rice,rapid_carb,substring,
puffed rice,rapid_carb,substring,
semolina,rapid_carb,substring,also gluten
suji,rapid_carb,substring,also gluten
sooji,rapid_carb,substring,
rava,rapid_carb,substring,also gluten
cornflakes,rapid_carb,substring,
corn flakes,rapid_carb,substring,
palm oil,saturated_fat,substring,
palmolein,saturated_fat,substring,
palm olein,saturated_fat,substring,
refined palm oil,saturated_fat,substring,
palm kernel oil,saturated_fat,substring,
coconut oil,saturated_fat,substring,
copra,saturated_fat,substring,
ghee,saturated_fat,substring,also milk_allergen
clarified butter,saturated_fat,substring,also milk_allergen
butter,saturated_fat,substring,also milk_allergen
butter oil,saturated_fat,substring,
milk fat,saturated_fat,substring,also milk_allergen
cream,saturated_fat,substring,also milk_allergen
cocoa butter,saturated_fat,substring,
tallow,saturated_fat,substring,
lard,saturated_fat,substring,
interesterified fat,saturated_fat,substring,
hydrogenated fat,saturated_fat,substring,also trans_fat
vanaspati,trans_fat,substring,also saturated_fat
dalda,trans_fat,substring,
hydrogenated vegetable oil,trans_fat,substring,
partially hydrogenated,trans_fat,substring,
hydrogenated oil,trans_fat,substring,
margarine,trans_fat,substring,
shortening,trans_fat,substring,
vegetable shortening,trans_fat,substring,
aged cheese,tyramine,substring,also histamine
mature cheese,tyramine,substring,
cheddar,tyramine,substring,
parmesan,tyramine,substring,
blue cheese,tyramine,substring,
tamari,tyramine,substring,also soy
miso,tyramine,substring,also soy
fermented soy,tyramine,substring,also soy
fermented bean,tyramine,substring,
natto,tyramine,substring,also soy
tempeh,tyramine,substring,also soy
anchovy,tyramine,substring,also purine
salami,tyramine,substring,
pepperoni,tyramine,substring,
cured meat,tyramine,substring,
yeast extract,tyramine,substring,also purine
marmite,tyramine,substring,
sauerkraut,tyramine,substring,also histamine
kimchi,tyramine,substring,also histamine
broad bean,tyramine,substring,
fava bean,tyramine,substring,
kale,vitamin_k,substring,
methi,vitamin_k,substring,fenugreek leaves
fenugreek leaves,vitamin_k,substring,
kasuri methi,vitamin_k,substring,
amaranth leaves,vitamin_k,substring,
broccoli,vitamin_k,substring,
cabbage,vitamin_k,substring,
brussels sprout,vitamin_k,substring,
collard,vitamin_k,substring,
mustard greens,vitamin_k,substring,
sarson,vitamin_k,substring,
parsley,vitamin_k,substring,
lettuce,vitamin_k,substring,
green tea,vitamin_k,substring,also caffeine
grapefruit,grapefruit_furanocoumarin,substring,
pomelo,grapefruit_furanocoumarin,substring,
chakotra,grapefruit_furanocoumarin,substring,
seville orange,grapefruit_furanocoumarin,substring,
bitter orange,grapefruit_furanocoumarin,substring,
bergamot,grapefruit_furanocoumarin,substring,
coffee,caffeine,substring,
caffeine,caffeine,substring,
tea extract,caffeine,substring,
black tea,caffeine,substring,
guarana,caffeine,substring,
kola nut,caffeine,substring,
cola nut,caffeine,substring,
yerba mate,caffeine,substring,
matcha,caffeine,substring,
energy drink,caffeine,substring,
beetroot,oxalate,substring,
beet,oxalate,word,
rhubarb,oxalate,substring,
star fruit,oxalate,substring,
carambola,oxalate,substring,
milk,milk_allergen,substring,"also calcium_mineral_chelation; matches 'buttermilk','milk solids'"
milk solids,milk_allergen,substring,
milk powder,milk_allergen,substring,
skimmed milk,milk_allergen,substring,
skimmed milk powder,milk_allergen,substring,
smp,milk_allergen,word,
whey,milk_allergen,substring,
whey powder,milk_allergen,substring,
whey protein,milk_allergen,substring,
casein,milk_allergen,substring,
caseinate,milk_allergen,substring,
sodium caseinate,milk_allergen,substring,
lactose,milk_allergen,substring,
paneer,milk_allergen,substring,
cheese,milk_allergen,substring,
curd,milk_allergen,substring,
dahi,milk_allergen,substring,
yogurt,milk_allergen,substring,
yoghurt,milk_allergen,substring,
khoya,milk_allergen,substring,
mawa,milk_allergen,substring,
condensed milk,milk_allergen,substring,
milk chocolate,milk_allergen,substring,
dairy,milk_allergen,substring,
soy,soy_allergen,word,
soya,soy_allergen,substring,
soybean,soy_allergen,substring,
soyabean,soy_allergen,substring,
soy lecithin,soy_allergen,substring,
soya lecithin,soy_allergen,substring,
lecithin,soy_allergen,substring,"usually soy-derived in Indian packaged food; flag for review"
soy protein,soy_allergen,substring,
soya protein,soy_allergen,substring,
soy flour,soy_allergen,substring,
soya flour,soy_allergen,substring,
textured vegetable protein,soy_allergen,substring,
tofu,soy_allergen,substring,
edamame,soy_allergen,substring,
peanut,nut_allergen,substring,
groundnut,nut_allergen,substring,
moongphali,nut_allergen,substring,
cashew,nut_allergen,substring,
kaju,nut_allergen,substring,
almond,nut_allergen,substring,
badam,nut_allergen,substring,
walnut,nut_allergen,substring,
akhrot,nut_allergen,substring,
pistachio,nut_allergen,substring,
pista,nut_allergen,word,
hazelnut,nut_allergen,substring,
pecan,nut_allergen,substring,
macadamia,nut_allergen,substring,
brazil nut,nut_allergen,substring,
pine nut,nut_allergen,substring,
chironji,nut_allergen,substring,
charoli,nut_allergen,substring,
nut,nut_allergen,word,"bare 'nut'; word-match only. 'coconut'/'nutmeg' excluded via stopword list"
mixed nuts,nut_allergen,substring,
praline,nut_allergen,substring,
marzipan,nut_allergen,substring,
wheat,gluten_allergen,substring,
wheat flour,gluten_allergen,substring,
atta,gluten_allergen,word,
wheat bran,gluten_allergen,substring,
wheat gluten,gluten_allergen,substring,
vital gluten,gluten_allergen,substring,
gluten,gluten_allergen,substring,
barley,gluten_allergen,substring,
jau,gluten_allergen,word,
malt,gluten_allergen,word,"barley malt; 'malt extract','malted'"
malt extract,gluten_allergen,substring,
malted,gluten_allergen,substring,
rye,gluten_allergen,word,
durum,gluten_allergen,substring,
dalia,gluten_allergen,substring,
broken wheat,gluten_allergen,substring,
farina,gluten_allergen,substring,
spelt,gluten_allergen,word,
seitan,gluten_allergen,substring,
egg,egg_allergen,word,"word-match; 'eggplant' excluded via stopword list"
egg white,egg_allergen,substring,
egg yolk,egg_allergen,substring,
egg powder,egg_allergen,substring,
egg solids,egg_allergen,substring,
whole egg,egg_allergen,substring,
liquid egg,egg_allergen,substring,
albumen,egg_allergen,substring,
albumin,egg_allergen,substring,
dried egg,egg_allergen,substring,
lysozyme,egg_allergen,substring,
mayonnaise,egg_allergen,substring,
meringue,egg_allergen,substring,
sesame,sesame_allergen,substring,
til,sesame_allergen,word,hindi for sesame
gingelly,sesame_allergen,substring,
gingelly oil,sesame_allergen,substring,
sesame oil,sesame_allergen,substring,
tahini,sesame_allergen,substring,
tahina,sesame_allergen,substring,
sesame seed,sesame_allergen,substring,
alcohol,alcohol,word,
ethanol,alcohol,substring,
ethyl alcohol,alcohol,substring,
wine,alcohol,word,
beer,alcohol,word,
rum,alcohol,word,
brandy,alcohol,substring,
whisky,alcohol,substring,
liqueur,alcohol,substring,
rectified spirit,alcohol,substring,
cooking wine,alcohol,substring,
mirin,alcohol,substring,
licorice,licorice_glycyrrhizin,substring,
liquorice,licorice_glycyrrhizin,substring,
mulethi,licorice_glycyrrhizin,substring,
yashtimadhu,licorice_glycyrrhizin,substring,
glycyrrhiza,licorice_glycyrrhizin,substring,
glycyrrhizin,licorice_glycyrrhizin,substring,
liver,purine,word,organ meat
kidney,purine,word,"organ meat; 'kidney bean' excluded via stopword"
organ meat,purine,substring,
offal,purine,substring,
sardine,purine,substring,
mackerel,purine,substring,
herring,purine,substring,
mussels,purine,substring,
meat extract,purine,substring,
calcium carbonate,calcium_mineral_chelation,substring,
calcium phosphate,calcium_mineral_chelation,substring,
tricalcium phosphate,calcium_mineral_chelation,substring,
calcium citrate,calcium_mineral_chelation,substring,
calcium lactate,calcium_mineral_chelation,substring,
calcium fortified,calcium_mineral_chelation,substring,
iron fortified,calcium_mineral_chelation,substring,
ferrous fumarate,calcium_mineral_chelation,substring,
ferrous sulphate,calcium_mineral_chelation,substring,
zinc sulphate,calcium_mineral_chelation,substring,
ragi,calcium_mineral_chelation,substring,calcium-rich millet
fermented,histamine,substring,"broad; also tyramine. low confidence on its own"
idli batter,histamine,substring,
dosa batter,histamine,substring,
kombucha,histamine,substring,
vinegar,histamine,substring,low confidence
maida,gluten_allergen,substring,wheat flour - coeliac/wheat-allergy hard stop
suji,gluten_allergen,substring,
sooji,gluten_allergen,substring,
rava,gluten_allergen,substring,
semolina,gluten_allergen,substring,
plain flour,gluten_allergen,substring,
all purpose flour,gluten_allergen,substring,
refined wheat flour,gluten_allergen,substring,
wheat starch,gluten_allergen,substring,
dalia,gluten_allergen,substring,
vermicelli,gluten_allergen,substring,"usually wheat; 'glass vermicelli' handled by LLM review as none"
