active_ingredient,drug_class,source
anastrozole,Aromatase inhibitor,seed:pharmacology-reference
anidulafungin,Echinocandin antifungal,seed:pharmacology-reference
apixaban,Direct oral anticoagulant,seed:pharmacology-reference
apremilast,Immunosuppressant / DMARD,seed:pharmacology-reference
aprepitant,NK1 receptor antagonist,seed:pharmacology-reference
arformoterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
arginine,Amino acid / nutritional,seed:pharmacology-reference
aripiprazole,Atypical antipsychotic,seed:pharmacology-reference
armodafinil,Stimulant / wakefulness agent,seed:pharmacology-reference
arteether,Antimalarial,seed:pharmacology-reference
artemether,Antimalarial,seed:pharmacology-reference
arterolane,Antimalarial,seed:pharmacology-reference
artesunate,Antimalarial,seed:pharmacology-reference
ascorbic acid,Vitamin C,seed:pharmacology-reference
asenapine,Atypical antipsychotic,seed:pharmacology-reference
aspirin,NSAID,seed:pharmacology-reference
astaxanthin,Antioxidant / micronutrient,seed:pharmacology-reference
atazanavir,Antiretroviral,seed:pharmacology-reference
atenolol,Beta blocker,seed:pharmacology-reference
atomoxetine,Stimulant / wakefulness agent,seed:pharmacology-reference
atorvastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
atovaquone,Antimalarial,seed:pharmacology-reference
atropine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
avanafil,PDE5 inhibitor,seed:pharmacology-reference
avibactam,Beta-lactamase inhibitor,seed:pharmacology-reference
azathioprine,Immunosuppressant / DMARD,seed:pharmacology-reference
azelastine,Antihistamine H1 (ocular),seed:pharmacology-reference
azelastine (nasal),Decongestant / antiallergic (ocular/nasal steroid),seed:pharmacology-reference
azilsartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
azithromycin,Macrolide,seed:pharmacology-reference
baclofen,Skeletal muscle relaxant,seed:pharmacology-reference
baloxavir,Antiviral (anti-influenza),seed:pharmacology-reference
balsalazide,Aminosalicylate,seed:pharmacology-reference
bambuterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
bamifylline,Methylxanthine bronchodilator,seed:pharmacology-reference
baricitinib,Immunosuppressant / DMARD,seed:pharmacology-reference
bazedoxifene,Selective estrogen receptor modulator,seed:pharmacology-reference
beclometasone,Corticosteroid,seed:pharmacology-reference
beclomethasone,Corticosteroid,seed:pharmacology-reference
bempedoic acid,Other lipid-lowering,seed:pharmacology-reference
benazepril,ACE inhibitor,seed:pharmacology-reference
benfotiamine,Vitamin B1,seed:pharmacology-reference
benidipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
benserazide,Dopaminergic anti-parkinson,seed:pharmacology-reference
benzbromarone,Uricosuric,seed:pharmacology-reference
benzhexol,Anticholinergic (anti-parkinson),seed:pharmacology-reference
benzocaine,Local anaesthetic,seed:pharmacology-reference
benzoyl peroxide,Keratolytic,seed:pharmacology-reference
benzyl benzoate,Antiscabietic / pediculicide,seed:pharmacology-reference
benzylpenicillin,Penicillin,seed:pharmacology-reference
bepotastine,Antihistamine (2nd generation),seed:pharmacology-reference
betahistine,Antivertigo (histamine analogue),seed:pharmacology-reference
betamethasone,Corticosteroid,seed:pharmacology-reference
betaxolol,Beta blocker,seed:pharmacology-reference
bezafibrate,Fibrate,seed:pharmacology-reference
bilastine,Antihistamine (2nd generation),seed:pharmacology-reference
bimatoprost,Prostaglandin analogue (ophthalmic),seed:pharmacology-reference
biperiden,Anticholinergic (anti-parkinson),seed:pharmacology-reference
biphasic isophane insulin,Insulin,seed:pharmacology-reference
bisacodyl,Stimulant laxative,seed:pharmacology-reference
bismuth subsalicylate,Mucosal protectant,seed:pharmacology-reference
bisoprolol,Beta blocker,seed:pharmacology-reference
blonanserin,Atypical antipsychotic,seed:pharmacology-reference
boric acid,Antiseptic / disinfectant,seed:pharmacology-reference
bosentan,Pulmonary hypertension agent,seed:pharmacology-reference
brexpiprazole,Atypical antipsychotic,seed:pharmacology-reference
brinzolamide,Carbonic anhydrase inhibitor,seed:pharmacology-reference
brivaracetam,Antiepileptic,seed:pharmacology-reference
bromelain,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
bromhexine,Mucolytic / expectorant,seed:pharmacology-reference
buclizine,Antihistamine (1st generation),seed:pharmacology-reference
budesonide,Corticosteroid,seed:pharmacology-reference
buflomedil,Vasodilator (peripheral),seed:pharmacology-reference
bumetanide,Loop diuretic,seed:pharmacology-reference
bupivacaine,Local anaesthetic,seed:pharmacology-reference
buprenorphine,Opioid analgesic,seed:pharmacology-reference
bupropion,Atypical antidepressant,seed:pharmacology-reference
buspirone,Anxiolytic (azapirone),seed:pharmacology-reference
butalbital,Barbiturate,seed:pharmacology-reference
butamirate,Antitussive,seed:pharmacology-reference
butoconazole,Azole antifungal,seed:pharmacology-reference
caffeine,Stimulant / wakefulness agent,seed:pharmacology-reference
calcifediol,Vitamin D analogue,seed:pharmacology-reference
calcitriol,Vitamin D analogue,seed:pharmacology-reference
calcium acetate (binder),Phosphate binder,seed:pharmacology-reference
calcium carbonate,Calcium supplement,seed:pharmacology-reference
calcium carbonate + magnesium,Antacid,seed:pharmacology-reference
calcium citrate,Calcium supplement,seed:pharmacology-reference
calcium disodium edetate,Antidote / chelator,seed:pharmacology-reference
calcium dobesilate,Local haemorrhoid preparation,seed:pharmacology-reference
calcium gluconate,Calcium supplement,seed:pharmacology-reference
calcium lactate,Calcium supplement,seed:pharmacology-reference
calcium phosphate,Calcium supplement,seed:pharmacology-reference
calcium polystyrene sulphonate,Potassium binder,seed:pharmacology-reference
camylofin,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
canagliflozin,SGLT2 inhibitor,seed:pharmacology-reference
candesartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
captopril,ACE inhibitor,seed:pharmacology-reference
carbamazepine,Antiepileptic,seed:pharmacology-reference
carbenicillin,Penicillin,seed:pharmacology-reference
carbidopa,Dopaminergic anti-parkinson,seed:pharmacology-reference
carbimazole,Antithyroid,seed:pharmacology-reference
carbocisteine,Mucolytic / expectorant,seed:pharmacology-reference
carbomer,Ocular lubricant,seed:pharmacology-reference
carbonyl iron,Iron supplement,seed:pharmacology-reference
carboxymethyl cellulose,Ocular lubricant,seed:pharmacology-reference
carboxymethylcellulose,Ocular lubricant,seed:pharmacology-reference
cariprazine,Atypical antipsychotic,seed:pharmacology-reference
carisoprodol,Skeletal muscle relaxant,seed:pharmacology-reference
carnitine,Amino acid / nutritional,seed:pharmacology-reference
carvedilol,Beta blocker,seed:pharmacology-reference
caspofungin,Echinocandin antifungal,seed:pharmacology-reference
castor oil,Stimulant laxative,seed:pharmacology-reference
cefaclor,Cephalosporin,seed:pharmacology-reference
cefadroxil,Cephalosporin,seed:pharmacology-reference
cefalexin,Cephalosporin,seed:pharmacology-reference
cefazolin,Cephalosporin,seed:pharmacology-reference
cefdinir,Cephalosporin,seed:pharmacology-reference
cefditoren,Cephalosporin,seed:pharmacology-reference
cefepime,Cephalosporin,seed:pharmacology-reference
cefixime,Cephalosporin,seed:pharmacology-reference
cefoperazone,Cephalosporin,seed:pharmacology-reference
cefotaxime,Cephalosporin,seed:pharmacology-reference
cefpodoxime,Cephalosporin,seed:pharmacology-reference
cefpodoxime proxetil,Cephalosporin,seed:pharmacology-reference
cefprozil,Cephalosporin,seed:pharmacology-reference
ceftaroline,Cephalosporin,seed:pharmacology-reference
ceftazidime,Cephalosporin,seed:pharmacology-reference
ceftibuten,Cephalosporin,seed:pharmacology-reference
ceftriaxone,Cephalosporin,seed:pharmacology-reference
cefuroxime,Cephalosporin,seed:pharmacology-reference
celecoxib,NSAID (COX-2 selective),seed:pharmacology-reference
cephalexin,Cephalosporin,seed:pharmacology-reference
cerebroprotein,Nootropic / neurotrophic,seed:pharmacology-reference
cetirizine,Antihistamine (2nd generation),seed:pharmacology-reference
cetrimide,Antiseptic / disinfectant,seed:pharmacology-reference
chenodeoxycholic acid,Bile acid,seed:pharmacology-reference
chloramphenicol,Amphenicol,seed:pharmacology-reference
chlordiazepoxide,Benzodiazepine,seed:pharmacology-reference
chlorhexidine,Antiseptic / disinfectant,seed:pharmacology-reference
chloroprocaine,Local anaesthetic,seed:pharmacology-reference
chloroquine,Antimalarial,seed:pharmacology-reference
chlorothiazide,Thiazide / thiazide-like diuretic,seed:pharmacology-reference
chlorphenamine,Antihistamine (1st generation),seed:pharmacology-reference
chlorpheniramine,Antihistamine (1st generation),seed:pharmacology-reference
chlorpheniramine maleate,Antihistamine (1st generation),seed:pharmacology-reference
chlorpromazine,Typical antipsychotic,seed:pharmacology-reference
chlorthalidone,Thiazide / thiazide-like diuretic,seed:pharmacology-reference
chlorzoxazone,Skeletal muscle relaxant,seed:pharmacology-reference
cholecalciferol,Vitamin D analogue,seed:pharmacology-reference
cholestyramine,Other lipid-lowering,seed:pharmacology-reference
choline fenofibrate,Fibrate,seed:pharmacology-reference
chymotrypsin,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
ciclesonide,Corticosteroid,seed:pharmacology-reference
ciclosporin,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
cilnidipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
cilostazol,Vasodilator (peripheral),seed:pharmacology-reference
cimetidine,H2 receptor antagonist,seed:pharmacology-reference
cinnarizine,Calcium channel blocker (antivertigo/migraine),seed:pharmacology-reference
cinnarizine (antihistamine),H1 antihistamine (piperazine),seed:pharmacology-reference
citalopram,SSRI,seed:pharmacology-reference
citicoline,Nootropic / neurotrophic,seed:pharmacology-reference
citrulline,Amino acid / nutritional,seed:pharmacology-reference
clarithromycin,Macrolide,seed:pharmacology-reference
clavulanic acid,Beta-lactamase inhibitor,seed:pharmacology-reference
clemastine,Antihistamine (1st generation),seed:pharmacology-reference
clevidipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
clidinium,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
clindamycin,Lincosamide,seed:pharmacology-reference
clindamycin (topical),Topical antibacterial (acne/skin),seed:pharmacology-reference
clioquinol,Amphenicol,seed:pharmacology-reference
clobazam,Benzodiazepine,seed:pharmacology-reference
clobazam (adjunct),Antiepileptic,seed:pharmacology-reference
clobetasol,Corticosteroid,seed:pharmacology-reference
clobetasone,Corticosteroid,seed:pharmacology-reference
clomifene,Selective estrogen receptor modulator,seed:pharmacology-reference
clomiphene,Selective estrogen receptor modulator,seed:pharmacology-reference
clomipramine,Tricyclic antidepressant,seed:pharmacology-reference
clonazepam,Benzodiazepine,seed:pharmacology-reference
clonidine,Antihypertensive (central alpha-2 agonist),seed:pharmacology-reference
clopidogrel,Antiplatelet (P2Y12 inhibitor),seed:pharmacology-reference
clorazepate,Benzodiazepine,seed:pharmacology-reference
clotrimazole,Azole antifungal,seed:pharmacology-reference
cloxacillin,Penicillin,seed:pharmacology-reference
clozapine,Atypical antipsychotic,seed:pharmacology-reference
co-trimoxazole,Sulfonamide antibacterial,seed:pharmacology-reference
coal tar,Keratolytic,seed:pharmacology-reference
cobalt,Haematinic (other),seed:pharmacology-reference
codeine,Opioid analgesic,seed:pharmacology-reference
codeine phosphate,Antitussive,seed:pharmacology-reference
coenzyme q10,Antioxidant / micronutrient,seed:pharmacology-reference
colchicine,Anti-gout (acute),seed:pharmacology-reference
colesevelam,Other lipid-lowering,seed:pharmacology-reference
colistimethate,Polymyxin,seed:pharmacology-reference
colistin,Polymyxin,seed:pharmacology-reference
colloidal ferric hydroxide,Iron supplement,seed:pharmacology-reference
conjugated estrogens,Estrogen,seed:pharmacology-reference
coral calcium,Calcium supplement,seed:pharmacology-reference
cortisone,Corticosteroid,seed:pharmacology-reference
cotrimoxazole,Sulfonamide antibacterial,seed:pharmacology-reference
creatine,Amino acid / nutritional,seed:pharmacology-reference
cromolyn,Mast cell stabiliser,seed:pharmacology-reference
crotamiton,Antiscabietic / pediculicide,seed:pharmacology-reference
cyanocobalamin,Vitamin B12,seed:pharmacology-reference
cyclobenzaprine,Skeletal muscle relaxant,seed:pharmacology-reference
cycloserine,Antitubercular,seed:pharmacology-reference
cyclosporine,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
cyproheptadine,Antihistamine (1st generation),seed:pharmacology-reference
cyproheptadine (appetite),Laxative / appetite / misc GI,seed:pharmacology-reference
dabigatran,Direct oral anticoagulant,seed:pharmacology-reference
dabigatran etexilate,Direct oral anticoagulant,seed:pharmacology-reference
daclatasvir,Antiviral (anti-hepatitis),seed:pharmacology-reference
dapagliflozin,SGLT2 inhibitor,seed:pharmacology-reference
darbepoetin,Erythropoiesis-stimulating agent,seed:pharmacology-reference
darifenacin,Overactive bladder agent,seed:pharmacology-reference
darunavir,Antiretroviral,seed:pharmacology-reference
deferasirox,Antidote / chelator,seed:pharmacology-reference
deferiprone,Antidote / chelator,seed:pharmacology-reference
deflazacort,Corticosteroid,seed:pharmacology-reference
demeclocycline,Tetracycline,seed:pharmacology-reference
desferrioxamine,Antidote / chelator,seed:pharmacology-reference
desloratadine,Antihistamine (2nd generation),seed:pharmacology-reference
desogestrel,Progestogen,seed:pharmacology-reference
desonide,Corticosteroid,seed:pharmacology-reference
desvenlafaxine,SNRI,seed:pharmacology-reference
dexamethasone,Corticosteroid,seed:pharmacology-reference
dexamfetamine,Stimulant / wakefulness agent,seed:pharmacology-reference
dexchlorpheniramine,Antihistamine (1st generation),seed:pharmacology-reference
dexketoprofen,NSAID,seed:pharmacology-reference
dexlansoprazole,Proton pump inhibitor,seed:pharmacology-reference
dexrabeprazole,Proton pump inhibitor,seed:pharmacology-reference
dextromethorphan,Antitussive,seed:pharmacology-reference
dextromethorphan hydrobromide,Antitussive,seed:pharmacology-reference
diacerein,NSAID,seed:pharmacology-reference
diastase,Digestive enzyme (pancreatic),seed:pharmacology-reference
diazepam,Benzodiazepine,seed:pharmacology-reference
diclofenac,NSAID,seed:pharmacology-reference
dicloxacillin,Penicillin,seed:pharmacology-reference
dicyclomine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
dicycloverine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
diethylcarbamazine,Anthelmintic,seed:pharmacology-reference
difluprednate,Corticosteroid,seed:pharmacology-reference
digoxin,Cardiac glycoside,seed:pharmacology-reference
dihydrocodeine,Opioid analgesic,seed:pharmacology-reference
dihydroergotamine,Ergot alkaloid,seed:pharmacology-reference
diloxanide furoate,Antiprotozoal (other),seed:pharmacology-reference
diltiazem,Calcium channel blocker (non-dihydropyridine),seed:pharmacology-reference
dimenhydrinate,Antihistamine (1st generation),seed:pharmacology-reference
dimenhydrinate (antiemetic),Antiemetic (antihistamine),seed:pharmacology-reference
dimercaprol,Antidote / chelator,seed:pharmacology-reference
dimethicone,Antiflatulent,seed:pharmacology-reference
dimethicone (topical),Emollient / barrier,seed:pharmacology-reference
diphenhydramine,Antihistamine (1st generation),seed:pharmacology-reference
diphenoxylate,Antimotility agent,seed:pharmacology-reference
disodium hydrogen citrate,Electrolyte / rehydration,seed:pharmacology-reference
divalproex,Antiepileptic,seed:pharmacology-reference
dolutegravir,Antiretroviral,seed:pharmacology-reference
domperidone,Dopamine antagonist antiemetic,seed:pharmacology-reference
donepezil,Cholinesterase inhibitor,seed:pharmacology-reference
doripenem,Carbapenem,seed:pharmacology-reference
dorzolamide,Carbonic anhydrase inhibitor,seed:pharmacology-reference
dosulepin,Tricyclic antidepressant,seed:pharmacology-reference
dothiepin,Tricyclic antidepressant,seed:pharmacology-reference
doxazosin,Alpha-1 blocker,seed:pharmacology-reference
doxofylline,Methylxanthine bronchodilator,seed:pharmacology-reference
doxycycline,Tetracycline,seed:pharmacology-reference
doxylamine,Antihistamine (1st generation),seed:pharmacology-reference
doxylamine (antiemetic),Antiemetic (antihistamine),seed:pharmacology-reference
dronedarone,Antiarrhythmic,seed:pharmacology-reference
drospirenone,Progestogen,seed:pharmacology-reference
drotaverine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
drotaverine hydrochloride,Antispasmodic xanthine / smooth muscle,seed:pharmacology-reference
dulaglutide,GLP-1 receptor agonist,seed:pharmacology-reference
duloxetine,SNRI,seed:pharmacology-reference
dutasteride,5-alpha reductase inhibitor,seed:pharmacology-reference
dydrogesterone,Progestogen,seed:pharmacology-reference
ebastine,Antihistamine (2nd generation),seed:pharmacology-reference
eberconazole,Azole antifungal,seed:pharmacology-reference
edoxaban,Direct oral anticoagulant,seed:pharmacology-reference
efavirenz,Antiretroviral,seed:pharmacology-reference
eletriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
emedastine,Antihistamine H1 (ocular),seed:pharmacology-reference
empagliflozin,SGLT2 inhibitor,seed:pharmacology-reference
emtricitabine,Antiretroviral,seed:pharmacology-reference
enalapril,ACE inhibitor,seed:pharmacology-reference
entacapone,Dopaminergic anti-parkinson,seed:pharmacology-reference
entecavir,Antiviral (anti-hepatitis),seed:pharmacology-reference
eperisone,Skeletal muscle relaxant,seed:pharmacology-reference
ephedrine,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
epinastine,Antihistamine H1 (ocular),seed:pharmacology-reference
eplerenone,Potassium-sparing diuretic / aldosterone antagonist,seed:pharmacology-reference
epoetin alfa,Erythropoiesis-stimulating agent,seed:pharmacology-reference
erdosteine,Mucolytic / expectorant,seed:pharmacology-reference
ergocalciferol,Vitamin D analogue,seed:pharmacology-reference
ergometrine,Ergot alkaloid,seed:pharmacology-reference
ergotamine,Ergot alkaloid,seed:pharmacology-reference
ertapenem,Carbapenem,seed:pharmacology-reference
ertugliflozin,SGLT2 inhibitor,seed:pharmacology-reference
erythromycin,Macrolide,seed:pharmacology-reference
erythromycin (topical),Topical antibacterial (acne/skin),seed:pharmacology-reference
erythropoietin,Erythropoiesis-stimulating agent,seed:pharmacology-reference
escitalopram,SSRI,seed:pharmacology-reference
escitalopram oxalate,SSRI,seed:pharmacology-reference
eslicarbazepine,Antiepileptic,seed:pharmacology-reference
esmolol,Beta blocker,seed:pharmacology-reference
esomeprazole,Proton pump inhibitor,seed:pharmacology-reference
estradiol,Estrogen,seed:pharmacology-reference
estradiol valerate,Estrogen,seed:pharmacology-reference
estriol,Estrogen,seed:pharmacology-reference
eszopiclone,Z-drug hypnotic,seed:pharmacology-reference
etamsylate,Antifibrinolytic / haemostatic,seed:pharmacology-reference
etanercept,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
ethambutol,Antitubercular,seed:pharmacology-reference
ethamsylate,Antifibrinolytic / haemostatic,seed:pharmacology-reference
ethinyl estradiol,Estrogen,seed:pharmacology-reference
ethinylestradiol,Estrogen,seed:pharmacology-reference
ethionamide,Antitubercular,seed:pharmacology-reference
ethosuximide,Antiepileptic,seed:pharmacology-reference
etidronate,Bisphosphonate,seed:pharmacology-reference
etizolam,Benzodiazepine,seed:pharmacology-reference
etodolac,NSAID,seed:pharmacology-reference
etofylline,Methylxanthine bronchodilator,seed:pharmacology-reference
etophylline,Methylxanthine bronchodilator,seed:pharmacology-reference
etoricoxib,NSAID (COX-2 selective),seed:pharmacology-reference
everolimus,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
exemestane,Aromatase inhibitor,seed:pharmacology-reference
exenatide,GLP-1 receptor agonist,seed:pharmacology-reference
ezetimibe,Other lipid-lowering,seed:pharmacology-reference
famciclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
famotidine,H2 receptor antagonist,seed:pharmacology-reference
faropenem,Penem (oral),seed:pharmacology-reference
febuxostat,Xanthine oxidase inhibitor,seed:pharmacology-reference
felodipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
fenofibrate,Fibrate,seed:pharmacology-reference
fenspiride,Respiratory anti-inflammatory (non-steroidal),seed:pharmacology-reference
fentanyl,Opioid analgesic,seed:pharmacology-reference
fenticonazole,Azole antifungal,seed:pharmacology-reference
ferric carboxymaltose,Iron supplement,seed:pharmacology-reference
ferrous ascorbate,Iron supplement,seed:pharmacology-reference
ferrous bisglycinate,Iron supplement,seed:pharmacology-reference
ferrous fumarate,Iron supplement,seed:pharmacology-reference
ferrous gluconate,Iron supplement,seed:pharmacology-reference
ferrous sulphate,Iron supplement,seed:pharmacology-reference
fesoterodine,Overactive bladder agent,seed:pharmacology-reference
fexofenadine,Antihistamine (2nd generation),seed:pharmacology-reference
fidaxomicin,Macrolide,seed:pharmacology-reference
finasteride,5-alpha reductase inhibitor,seed:pharmacology-reference
flavoxate,Overactive bladder agent,seed:pharmacology-reference
flecainide,Antiarrhythmic,seed:pharmacology-reference
flucloxacillin,Penicillin,seed:pharmacology-reference
fluconazole,Azole antifungal,seed:pharmacology-reference
flunarizine,Calcium channel blocker (antivertigo/migraine),seed:pharmacology-reference
fluocinolone,Corticosteroid,seed:pharmacology-reference
fluoxetine,SSRI,seed:pharmacology-reference
flupenthixol,Typical antipsychotic,seed:pharmacology-reference
fluphenazine,Typical antipsychotic,seed:pharmacology-reference
flurazepam,Benzodiazepine,seed:pharmacology-reference
flurbiprofen,NSAID,seed:pharmacology-reference
fluticasone,Corticosteroid,seed:pharmacology-reference
fluticasone furoate,Corticosteroid,seed:pharmacology-reference
fluticasone furoate (nasal),Decongestant / antiallergic (ocular/nasal steroid),seed:pharmacology-reference
fluticasone propionate,Corticosteroid,seed:pharmacology-reference
fluvastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
fluvoxamine,SSRI,seed:pharmacology-reference
folate,Vitamin B9,seed:pharmacology-reference
folic acid,Vitamin B9,seed:pharmacology-reference
formoterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
fosaprepitant,NK1 receptor antagonist,seed:pharmacology-reference
fosfomycin,Fosfomycin,seed:pharmacology-reference
fosinopril,ACE inhibitor,seed:pharmacology-reference
fosphenytoin,Antiepileptic,seed:pharmacology-reference
framycetin,Aminoglycoside,seed:pharmacology-reference
framycetin (topical),Topical antibacterial (acne/skin),seed:pharmacology-reference
frovatriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
frusemide,Loop diuretic,seed:pharmacology-reference
fungal diastase,Digestive enzyme (pancreatic),seed:pharmacology-reference
furazolidone,Nitrofuran antibacterial,seed:pharmacology-reference
furosemide,Loop diuretic,seed:pharmacology-reference
fusidic acid,Topical antibacterial (acne/skin),seed:pharmacology-reference
gabapentin,Gabapentinoid,seed:pharmacology-reference
galantamine,Cholinesterase inhibitor,seed:pharmacology-reference
gamma benzene hexachloride,Antiscabietic / pediculicide,seed:pharmacology-reference
ganciclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
gemfibrozil,Fibrate,seed:pharmacology-reference
gemigliptin,DPP-4 inhibitor,seed:pharmacology-reference
gentamicin,Aminoglycoside,seed:pharmacology-reference
gestodene,Progestogen,seed:pharmacology-reference
ginkgo biloba,Nootropic / neurotrophic,seed:pharmacology-reference
glibenclamide,Sulfonylurea (antidiabetic),seed:pharmacology-reference
gliclazide,Sulfonylurea (antidiabetic),seed:pharmacology-reference
glimepiride,Sulfonylurea (antidiabetic),seed:pharmacology-reference
glipizide,Sulfonylurea (antidiabetic),seed:pharmacology-reference
gliquidone,Sulfonylurea (antidiabetic),seed:pharmacology-reference
glutamine,Amino acid / nutritional,seed:pharmacology-reference
glyburide,Sulfonylurea (antidiabetic),seed:pharmacology-reference
glycerin (topical),Emollient / barrier,seed:pharmacology-reference
glyceryl trinitrate,Nitrate vasodilator,seed:pharmacology-reference
glycopyrrolate,Antimuscarinic bronchodilator,seed:pharmacology-reference
glycopyrronium,Antimuscarinic bronchodilator,seed:pharmacology-reference
golimumab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
granisetron,5-HT3 receptor antagonist,seed:pharmacology-reference
grape seed extract,Antioxidant / micronutrient,seed:pharmacology-reference
griseofulvin,Antifungal (griseofulvin),seed:pharmacology-reference
guaifenesin,Mucolytic / expectorant,seed:pharmacology-reference
guaifenesin (expectorant),Expectorant (guaiacolate),seed:pharmacology-reference
guaiphenesin,Mucolytic / expectorant,seed:pharmacology-reference
halobetasol,Corticosteroid,seed:pharmacology-reference
