drug_class,risk_compound,severity,mechanism,dietary_guidance,evidence_strength,example_drugs,drug_class_present_in_dataset,review_status
Thiazide / thiazide-like diuretic,calcium_mineral_chelation,MODERATE,Thiazides reduce urinary calcium excretion; very high calcium intake can cause hypercalcaemia.,Avoid high-dose calcium supplements unless advised.,established,"hydrochlorothiazide, chlorthalidone",yes,NEEDS CLINICAL REVIEW
Loop diuretic,sodium,MODERATE,High sodium intake offsets loop-diuretic effect on fluid overload and blood pressure.,Follow the prescribed sodium restriction.,well-established,"furosemide, torsemide",no,NEEDS CLINICAL REVIEW
Loop diuretic,licorice_glycyrrhizin,HIGH,Additive potassium loss with loop-diuretic hypokalaemia.,Avoid licorice / mulethi.,established,furosemide,no,NEEDS CLINICAL REVIEW
Corticosteroid,licorice_glycyrrhizin,HIGH,Both cause sodium retention and potassium loss; combined effect can be marked.,Avoid licorice / mulethi during steroid courses.,established,"prednisolone, dexamethasone",yes,NEEDS CLINICAL REVIEW
Cardiac glycoside,licorice_glycyrrhizin,HIGH,"Licorice-induced hypokalaemia sensitises the myocardium to digoxin, precipitating toxicity.",Avoid licorice / mulethi; report palpitations.,established,digoxin,no,NEEDS CLINICAL REVIEW
Statin (HMG-CoA reductase inhibitor),grapefruit_furanocoumarin,HIGH,"Grapefruit furanocoumarins inhibit intestinal CYP3A4, raising simvastatin/atorvastatin levels and myopathy/rhabdomyolysis risk.",Avoid grapefruit and pomelo (esp. with simvastatin/atorvastatin).,well-established,"simvastatin, atorvastatin",yes,NEEDS CLINICAL REVIEW
Calcium channel blocker (dihydropyridine),grapefruit_furanocoumarin,HIGH,"CYP3A4 inhibition raises dihydropyridine levels, causing excessive hypotension and oedema.",Avoid grapefruit and pomelo.,well-established,"amlodipine, felodipine, nifedipine",yes,NEEDS CLINICAL REVIEW
Calcium channel blocker (non-dihydropyridine),grapefruit_furanocoumarin,HIGH,CYP3A4 inhibition raises verapamil/diltiazem levels; bradycardia and hypotension.,Avoid grapefruit and pomelo.,established,"verapamil, diltiazem",no,NEEDS CLINICAL REVIEW
Immunosuppressant (calcineurin / mTOR),grapefruit_furanocoumarin,HIGH,Strong CYP3A4/P-gp inhibition markedly raises tacrolimus/ciclosporin/sirolimus levels; nephrotoxicity.,"Avoid grapefruit, pomelo and Seville orange completely.",well-established,"tacrolimus, ciclosporin, sirolimus, everolimus",yes,NEEDS CLINICAL REVIEW
Anti-gout (acute),grapefruit_furanocoumarin,HIGH,CYP3A4/P-gp inhibition raises colchicine to toxic levels; colchicine toxicity can be fatal.,Avoid grapefruit and pomelo while taking colchicine.,established,colchicine,yes,NEEDS CLINICAL REVIEW
Antiarrhythmic,grapefruit_furanocoumarin,HIGH,Amiodarone/dronedarone levels rise with CYP3A4 inhibition; QT prolongation.,Avoid grapefruit and pomelo.,established,"amiodarone, dronedarone",no,NEEDS CLINICAL REVIEW
Ergot alkaloid,grapefruit_furanocoumarin,HIGH,CYP3A4 inhibition raises ergot levels; risk of ergotism (vasospasm).,Avoid grapefruit and pomelo.,established,"ergotamine, dihydroergotamine",yes,NEEDS CLINICAL REVIEW
PDE5 inhibitor,grapefruit_furanocoumarin,MODERATE,"CYP3A4 inhibition raises sildenafil/tadalafil levels; hypotension, headache.",Separate from grapefruit/pomelo intake.,established,"sildenafil, tadalafil",yes,NEEDS CLINICAL REVIEW
Direct oral anticoagulant,grapefruit_furanocoumarin,MODERATE,"Grapefruit inhibits CYP3A4/P-gp, modestly raising apixaban/rivaroxaban exposure and bleeding risk.",Avoid large or regular grapefruit/pomelo intake.,theoretical,"apixaban, rivaroxaban",yes,NEEDS CLINICAL REVIEW
Macrolide,grapefruit_furanocoumarin,MODERATE,Additive CYP3A4 inhibition (clarithromycin/erythromycin) with grapefruit.,Avoid grapefruit during the course.,theoretical,"clarithromycin, erythromycin",yes,NEEDS CLINICAL REVIEW
Antihistamine (2nd generation),grapefruit_furanocoumarin,MODERATE,"Grapefruit reduces OATP-mediated uptake of fexofenadine, lowering its effect.","Take fexofenadine with water, not fruit juice.",established,fexofenadine,yes,NEEDS CLINICAL REVIEW
Anticoagulant (vitamin K antagonist),vitamin_k,HIGH,Dietary vitamin K antagonises warfarin; fluctuating intake destabilises INR and can cause clot or bleed.,Keep leafy-green / vitamin-K intake CONSISTENT day to day; do not binge or eliminate.,well-established,"warfarin, acenocoumarol",no,NEEDS CLINICAL REVIEW
Anticoagulant (vitamin K antagonist),alcohol,MODERATE,Acute alcohol raises INR (reduced metabolism); chronic use lowers it (enzyme induction).,Limit and keep alcohol intake steady; avoid binge drinking.,established,warfarin,no,NEEDS CLINICAL REVIEW
Anticoagulant (vitamin K antagonist),grapefruit_furanocoumarin,MODERATE,Grapefruit can raise warfarin exposure and INR.,Avoid regular grapefruit/pomelo.,theoretical,warfarin,no,NEEDS CLINICAL REVIEW
Antiplatelet (P2Y12 inhibitor),alcohol,MODERATE,Additive gastrointestinal bleeding risk.,Limit alcohol.,established,"clopidogrel, ticagrelor",yes,NEEDS CLINICAL REVIEW
Antiplatelet (P2Y12 inhibitor),grapefruit_furanocoumarin,MODERATE,"Grapefruit inhibits CYP3A4 activation of clopidogrel to its active metabolite, reducing antiplatelet effect.",Avoid grapefruit with clopidogrel.,theoretical,clopidogrel,yes,NEEDS CLINICAL REVIEW
NSAID,sodium,MODERATE,"NSAIDs promote sodium and fluid retention, raising blood pressure and opposing antihypertensives.",Keep salt intake low if using NSAIDs regularly.,well-established,"diclofenac, ibuprofen, naproxen, aceclofenac",yes,NEEDS CLINICAL REVIEW
NSAID,alcohol,HIGH,Additive gastric mucosal injury; significant upper-GI bleeding risk.,Avoid alcohol while taking NSAIDs.,well-established,"diclofenac, ibuprofen, naproxen",yes,NEEDS CLINICAL REVIEW
NSAID,potassium,MODERATE,"NSAIDs reduce renal potassium excretion; hyperkalaemia risk, especially with RAAS drugs.",Avoid potassium salt substitutes.,established,"diclofenac, ibuprofen",yes,NEEDS CLINICAL REVIEW
NSAID (COX-2 selective),sodium,MODERATE,Sodium/fluid retention as with non-selective NSAIDs.,Keep salt intake moderate.,established,"etoricoxib, celecoxib",yes,NEEDS CLINICAL REVIEW
NSAID (COX-2 selective),alcohol,MODERATE,GI bleeding risk lower than non-selective NSAIDs but still additive.,Limit alcohol.,established,"etoricoxib, celecoxib",yes,NEEDS CLINICAL REVIEW
Corticosteroid,sodium,MODERATE,Mineralocorticoid activity causes sodium and fluid retention; oedema and raised blood pressure.,Follow a lower-salt diet during steroid therapy.,well-established,"prednisolone, dexamethasone, methylprednisolone",yes,NEEDS CLINICAL REVIEW
Corticosteroid,added_sugar,MODERATE,Corticosteroids raise blood glucose (steroid-induced hyperglycaemia); added sugar compounds it.,"Limit sugary foods and drinks during steroid courses, especially if diabetic.",well-established,"prednisolone, dexamethasone",yes,NEEDS CLINICAL REVIEW
Corticosteroid,rapid_carb,MODERATE,High-glycaemic carbohydrate worsens steroid-induced hyperglycaemia.,Prefer low-GI carbohydrates during steroid therapy.,established,prednisolone,yes,NEEDS CLINICAL REVIEW
Corticosteroid,alcohol,MODERATE,Additive gastric irritation and immunosuppression; blood-glucose swings.,Limit alcohol.,established,prednisolone,yes,NEEDS CLINICAL REVIEW
Corticosteroid,calcium_mineral_chelation,LOW,"Long-term steroids reduce bone density; adequate dietary calcium and vitamin D are PROTECTIVE, not harmful.","Maintain adequate calcium and vitamin D intake - this is beneficial, not a restriction.",well-established,prednisolone (long-term),yes,NEEDS CLINICAL REVIEW
Biguanide (antidiabetic),alcohol,HIGH,Alcohol increases the risk of lactic acidosis with metformin and can cause delayed hypoglycaemia.,Avoid binge drinking; take metformin with food.,well-established,metformin,yes,NEEDS CLINICAL REVIEW
Biguanide (antidiabetic),added_sugar,MODERATE,Added sugar directly opposes glycaemic control.,Limit free sugars; match carbohydrate to the meal plan.,well-established,metformin,yes,NEEDS CLINICAL REVIEW
Biguanide (antidiabetic),rapid_carb,MODERATE,High-GI carbohydrate causes glucose spikes that metformin cannot fully offset.,Prefer low-GI carbohydrate sources.,established,metformin,yes,NEEDS CLINICAL REVIEW
Sulfonylurea (antidiabetic),alcohol,HIGH,Alcohol potentiates sulfonylurea hypoglycaemia; some (e.g. glibenclamide) can give a disulfiram-like flush.,"Avoid alcohol, especially on an empty stomach.",well-established,"glimepiride, gliclazide, glibenclamide",yes,NEEDS CLINICAL REVIEW
Sulfonylurea (antidiabetic),added_sugar,MODERATE,Added sugar opposes glycaemic control and complicates dose titration.,Limit free sugars.,established,"glimepiride, gliclazide",yes,NEEDS CLINICAL REVIEW
Insulin,alcohol,HIGH,"Alcohol blocks hepatic gluconeogenesis, causing delayed hypoglycaemia hours after drinking.","If drinking, do so with food and monitor glucose; avoid binge drinking.",well-established,"insulin glargine, insulin aspart, human insulin",yes,NEEDS CLINICAL REVIEW
Insulin,added_sugar,MODERATE,Free sugars cause rapid glucose spikes requiring careful bolus matching.,Count carbohydrate; limit sugary drinks.,established,"insulin aspart, insulin lispro",yes,NEEDS CLINICAL REVIEW
Insulin,rapid_carb,MODERATE,High-GI carbohydrate can outpace rapid-acting insulin.,Prefer low-GI carbohydrate; adjust timing with clinician.,established,insulin aspart,yes,NEEDS CLINICAL REVIEW
DPP-4 inhibitor,added_sugar,MODERATE,Added sugar opposes glycaemic control.,Limit free sugars.,established,"sitagliptin, teneligliptin, vildagliptin",yes,NEEDS CLINICAL REVIEW
SGLT2 inhibitor,added_sugar,MODERATE,Added sugar opposes glycaemic control.,Limit free sugars.,established,"dapagliflozin, empagliflozin",yes,NEEDS CLINICAL REVIEW
SGLT2 inhibitor,alcohol,MODERATE,Alcohol plus SGLT2 inhibition raises the risk of (euglycaemic) diabetic ketoacidosis and volume depletion.,Limit alcohol; stay hydrated.,established,"dapagliflozin, empagliflozin",yes,NEEDS CLINICAL REVIEW
Meglitinide,added_sugar,MODERATE,Added sugar opposes post-prandial glucose control.,Limit free sugars; take drug with meals.,established,"repaglinide, nateglinide",no,NEEDS CLINICAL REVIEW
Thiazolidinedione,sodium,MODERATE,Fluid retention is a class effect; high sodium worsens oedema and heart-failure risk.,Keep salt intake low.,established,pioglitazone,no,NEEDS CLINICAL REVIEW
Alpha-glucosidase inhibitor,added_sugar,MODERATE,"Delays sucrose digestion; also, hypoglycaemia on these drugs must be treated with GLUCOSE, not table sugar.",Limit sucrose; carry glucose tablets for hypos.,established,"acarbose, voglibose",yes,NEEDS CLINICAL REVIEW
Oxazolidinone (weak MAO inhibitor),tyramine,HIGH,Linezolid is a reversible MAO inhibitor; tyramine-rich foods can precipitate a hypertensive reaction.,"Avoid aged cheese, fermented soy, tap/'draught' beer, cured meats and yeast extracts.",well-established,"linezolid, tedizolid",yes,NEEDS CLINICAL REVIEW
Oxazolidinone (weak MAO inhibitor),histamine,MODERATE,MAO inhibition impairs histamine breakdown; fermented/aged foods can trigger flushing and headache.,Avoid fermented and aged foods during the course.,theoretical,linezolid,yes,NEEDS CLINICAL REVIEW
Oxazolidinone (weak MAO inhibitor),caffeine,MODERATE,Additive pressor effect with large caffeine loads.,Limit caffeine during linezolid therapy.,theoretical,linezolid,yes,NEEDS CLINICAL REVIEW
Antitubercular,tyramine,MODERATE,Isoniazid has weak MAO-inhibitory activity; large tyramine loads can cause a pressor reaction.,Avoid aged cheese and fermented foods with isoniazid-containing regimens.,established,isoniazid,yes,NEEDS CLINICAL REVIEW
Antitubercular,histamine,MODERATE,"Isoniazid inhibits diamine oxidase; histamine-rich fish (tuna, mackerel) can cause a scombroid-like reaction.",Avoid poorly-stored or histamine-rich fish with isoniazid.,established,isoniazid,yes,NEEDS CLINICAL REVIEW
Antitubercular,alcohol,HIGH,Additive hepatotoxicity with isoniazid/rifampicin/pyrazinamide.,Avoid alcohol for the duration of TB therapy.,well-established,"isoniazid, rifampicin, pyrazinamide",yes,NEEDS CLINICAL REVIEW
Tricyclic antidepressant,tyramine,LOW,TCAs are not MAO inhibitors; tyramine interaction is minor compared with MAOIs but a mild pressor potentiation is described.,No strict restriction; very large tyramine loads best avoided.,weak,"amitriptyline, nortriptyline",yes,NEEDS CLINICAL REVIEW
SSRI,tyramine,LOW,Clinically insignificant with SSRIs (unlike MAOIs); listed to document that no tyramine diet is needed.,No tyramine restriction required.,weak,"escitalopram, sertraline, fluoxetine",yes,NEEDS CLINICAL REVIEW
Benzodiazepine,alcohol,HIGH,Additive CNS and respiratory depression; risk of oversedation and death.,Do not drink alcohol while taking benzodiazepines.,well-established,"clonazepam, alprazolam, diazepam, etizolam",yes,NEEDS CLINICAL REVIEW
Z-drug hypnotic,alcohol,HIGH,Additive CNS and respiratory depression; complex sleep behaviours.,Do not drink alcohol.,well-established,"zolpidem, zopiclone",yes,NEEDS CLINICAL REVIEW
Barbiturate,alcohol,HIGH,Additive CNS/respiratory depression with a narrow safety margin.,Avoid alcohol entirely.,well-established,phenobarbital,yes,NEEDS CLINICAL REVIEW
Opioid analgesic,alcohol,HIGH,Additive respiratory depression and sedation; overdose risk.,Do not drink alcohol while taking opioids.,well-established,"tramadol, codeine, morphine, tapentadol",yes,NEEDS CLINICAL REVIEW
Gabapentinoid,alcohol,HIGH,Additive CNS depression and dizziness.,Avoid or strictly limit alcohol.,established,"pregabalin, gabapentin",yes,NEEDS CLINICAL REVIEW
Antihistamine (1st generation),alcohol,HIGH,Additive sedation and psychomotor impairment.,Avoid alcohol.,well-established,"chlorpheniramine, diphenhydramine, hydroxyzine, promethazine",yes,NEEDS CLINICAL REVIEW
Antihistamine (1st generation),caffeine,LOW,Caffeine can mask sedation without removing impairment.,Do not rely on caffeine to offset drowsiness.,weak,"chlorpheniramine, diphenhydramine",yes,NEEDS CLINICAL REVIEW
Atypical antipsychotic,alcohol,HIGH,"Additive sedation, hypotension and impaired coordination.",Avoid alcohol.,well-established,"olanzapine, quetiapine, risperidone",yes,NEEDS CLINICAL REVIEW
Atypical antipsychotic,added_sugar,LOW,Class-related weight gain and metabolic syndrome; a high-sugar diet compounds long-term risk.,"Favour a low-sugar, balanced diet during long-term therapy.",established,"olanzapine, clozapine",yes,NEEDS CLINICAL REVIEW
Typical antipsychotic,alcohol,HIGH,Additive CNS depression and hypotension.,Avoid alcohol.,established,"haloperidol, chlorpromazine",yes,NEEDS CLINICAL REVIEW
Tricyclic antidepressant,alcohol,HIGH,Marked additive sedation and CNS depression; overdose danger.,Avoid alcohol.,well-established,"amitriptyline, imipramine, nortriptyline",yes,NEEDS CLINICAL REVIEW
SSRI,alcohol,MODERATE,Additive CNS effects and impaired judgement; possible increased GI bleeding risk.,Limit alcohol.,established,"escitalopram, sertraline, fluoxetine",yes,NEEDS CLINICAL REVIEW
SNRI,alcohol,MODERATE,Additive CNS effects; hepatic caution with duloxetine.,Limit alcohol; avoid with significant liver disease.,established,"venlafaxine, duloxetine",yes,NEEDS CLINICAL REVIEW
Skeletal muscle relaxant,alcohol,HIGH,Additive CNS and respiratory depression.,Avoid alcohol.,established,"chlorzoxazone, baclofen, tizanidine, thiocolchicoside",yes,NEEDS CLINICAL REVIEW
Antihistamine (2nd generation),alcohol,MODERATE,Less sedating than first-generation but additive impairment still occurs with some agents.,"Limit alcohol, especially with cetirizine/levocetirizine.",established,"cetirizine, levocetirizine",yes,NEEDS CLINICAL REVIEW
Mood stabiliser,sodium,HIGH,Lithium clearance tracks sodium: a fall in sodium intake raises lithium levels (toxicity); a rise lowers them (loss of effect).,Keep sodium intake CONSISTENT day to day; do not start a low-salt diet without monitoring.,well-established,lithium carbonate,yes,NEEDS CLINICAL REVIEW
Mood stabiliser,caffeine,MODERATE,Caffeine increases lithium renal clearance; stopping caffeine abruptly can raise lithium to toxic levels.,Keep caffeine intake steady; change it only with level monitoring.,established,lithium carbonate,yes,NEEDS CLINICAL REVIEW
Methylxanthine bronchodilator,caffeine,HIGH,"Caffeine is pharmacologically similar to theophylline; additive toxicity (tremor, tachyarrhythmia, seizures).",Minimise caffeine while on theophylline-type drugs.,well-established,"theophylline, doxofylline, acebrophylline, aminophylline",yes,NEEDS CLINICAL REVIEW
Methylxanthine bronchodilator,alcohol,MODERATE,Alcohol reduces theophylline clearance and adds to nausea/reflux.,Limit alcohol.,established,theophylline,yes,NEEDS CLINICAL REVIEW
Beta-2 agonist (bronchodilator),caffeine,MODERATE,"Additive tremor, tachycardia and hypokalaemia with large caffeine loads.",Limit strong coffee / energy drinks around dosing.,established,"salbutamol, formoterol, terbutaline",yes,NEEDS CLINICAL REVIEW
Stimulant / wakefulness agent,caffeine,HIGH,"Additive CNS and cardiovascular stimulation (tachycardia, hypertension, anxiety, insomnia).",Avoid or minimise caffeine.,established,"modafinil, methylphenidate, atomoxetine, caffeine (as drug)",yes,NEEDS CLINICAL REVIEW
Fluoroquinolone,calcium_mineral_chelation,HIGH,"Di/trivalent cations (calcium, iron, zinc, magnesium) chelate fluoroquinolones and can abolish absorption.","Separate the dose from dairy, antacids, and iron/calcium/zinc supplements by >=2 hours (6 h ideal).",well-established,"ciprofloxacin, levofloxacin, ofloxacin, moxifloxacin",yes,NEEDS CLINICAL REVIEW
Fluoroquinolone,milk_allergen,HIGH,"Milk/yoghurt calcium chelates fluoroquinolones (esp. ciprofloxacin, norfloxacin), reducing absorption.",Do not take with milk or yoghurt; separate by >=2 hours.,well-established,"ciprofloxacin, norfloxacin",yes,NEEDS CLINICAL REVIEW
Fluoroquinolone,caffeine,MODERATE,Ciprofloxacin inhibits CYP1A2 and reduces caffeine clearance; jitteriness and insomnia.,Cut back on caffeine during the course.,established,ciprofloxacin,yes,NEEDS CLINICAL REVIEW
Tetracycline,calcium_mineral_chelation,HIGH,"Calcium, iron, zinc and magnesium chelate tetracyclines, markedly reducing absorption.","Separate from dairy, antacids and mineral supplements by >=2 hours.",well-established,"doxycycline, minocycline, tetracycline",yes,NEEDS CLINICAL REVIEW
Tetracycline,milk_allergen,HIGH,Milk calcium chelates tetracyclines (classical interaction; doxycycline less affected than older agents).,Avoid taking with milk; separate by >=2 hours.,well-established,"tetracycline, doxycycline",yes,NEEDS CLINICAL REVIEW
Thyroid hormone,calcium_mineral_chelation,HIGH,"Calcium and iron salts bind levothyroxine in the gut and reduce absorption, causing under-treatment.",Take levothyroxine fasting; separate calcium/iron by >=4 hours.,well-established,levothyroxine,yes,NEEDS CLINICAL REVIEW
Thyroid hormone,soy_allergen,MODERATE,Soy protein and soy fibre reduce levothyroxine absorption.,Separate levothyroxine from soy foods/supplements by >=4 hours; keep soy intake consistent.,established,levothyroxine,yes,NEEDS CLINICAL REVIEW
Thyroid hormone,milk_allergen,MODERATE,Cow's milk taken with levothyroxine reduces its absorption.,"Take levothyroxine with water on an empty stomach, not with milk.",established,levothyroxine,yes,NEEDS CLINICAL REVIEW
Bisphosphonate,calcium_mineral_chelation,HIGH,"Any food, and especially calcium/iron/magnesium, blocks oral bisphosphonate absorption (bioavailability already <1%).","Take on waking with plain water only; no food, milk, coffee or supplements for >=30-60 minutes.",well-established,"alendronic acid, risedronate, ibandronate",yes,NEEDS CLINICAL REVIEW
Bisphosphonate,milk_allergen,HIGH,Milk calcium prevents bisphosphonate absorption.,Plain water only with the dose; wait >=30-60 minutes before milk.,well-established,"alendronic acid, risedronate",yes,NEEDS CLINICAL REVIEW
Proton pump inhibitor,calcium_mineral_chelation,MODERATE,"Long-term acid suppression reduces absorption of calcium carbonate, iron, magnesium and vitamin B12.",Use calcium citrate rather than carbonate; monitor magnesium/B12 on long-term use.,established,"omeprazole, pantoprazole, rabeprazole, esomeprazole",yes,NEEDS CLINICAL REVIEW
Dopaminergic anti-parkinson,calcium_mineral_chelation,MODERATE,"Iron salts chelate levodopa and carbidopa, reducing absorption; dietary protein also competes for transport.",Separate iron supplements from levodopa doses; keep protein distribution consistent.,established,"levodopa, carbidopa",yes,NEEDS CLINICAL REVIEW
Nitroimidazole antimicrobial,alcohol,HIGH,"Disulfiram-like reaction (flushing, vomiting, tachycardia) with even small amounts of alcohol, including in sauces/tonics.",No alcohol during and for 48-72 hours after the course; check cough syrups and food for alcohol.,well-established,"metronidazole, tinidazole, ornidazole, secnidazole",yes,NEEDS CLINICAL REVIEW
Cephalosporin,alcohol,MODERATE,Cefoperazone and a few other cephalosporins with a methyltetrazolethiol side chain cause a disulfiram-like reaction.,Avoid alcohol with cefoperazone-containing products.,established,cefoperazone,yes,NEEDS CLINICAL REVIEW
Alcohol deterrent (ALDH inhibitor),alcohol,HIGH,"Disulfiram blocks acetaldehyde breakdown; any alcohol - including in food, sauces, vinegar, mouthwash - triggers a severe reaction.","Strictly avoid all sources of alcohol, including hidden ones.",well-established,disulfiram,yes,NEEDS CLINICAL REVIEW
Nitrofuran antibacterial,alcohol,MODERATE,Furazolidone (and to a lesser extent nitrofurantoin) can cause a disulfiram-like reaction.,Avoid alcohol during the course.,established,"furazolidone, nitrofurantoin",yes,NEEDS CLINICAL REVIEW
Sulfonamide antibacterial,alcohol,MODERATE,Occasional disulfiram-like reactions and additive hepatic stress.,Limit or avoid alcohol during the course.,theoretical,"cotrimoxazole, sulfamethoxazole",yes,NEEDS CLINICAL REVIEW
Analgesic / antipyretic (aniline),alcohol,HIGH,"Chronic alcohol induces CYP2E1 and depletes glutathione, greatly increasing paracetamol hepatotoxicity even at near-therapeutic doses.",Do not exceed 2 g/day paracetamol if drinking regularly; avoid the combination.,well-established,paracetamol,yes,NEEDS CLINICAL REVIEW
Statin (HMG-CoA reductase inhibitor),alcohol,MODERATE,Additive hepatic stress; caution with heavy or regular alcohol use.,Limit alcohol; report muscle pain or dark urine.,established,"atorvastatin, rosuvastatin, simvastatin",yes,NEEDS CLINICAL REVIEW
Immunosuppressant / DMARD,alcohol,HIGH,Methotrexate plus alcohol markedly raises the risk of hepatic fibrosis/cirrhosis.,"Avoid alcohol, or keep well within conservative limits agreed with the clinician.",well-established,"methotrexate, leflunomide",yes,NEEDS CLINICAL REVIEW
Rifamycin,alcohol,HIGH,Additive hepatotoxicity; daily alcohol also alters rifampicin metabolism.,Avoid alcohol during therapy.,established,"rifampicin, rifabutin",yes,NEEDS CLINICAL REVIEW
Azole antifungal,alcohol,MODERATE,Additive hepatotoxicity; rare disulfiram-like reaction with ketoconazole.,Limit alcohol; avoid with ketoconazole.,established,"ketoconazole, itraconazole, fluconazole",yes,NEEDS CLINICAL REVIEW
Hepatoprotective,alcohol,MODERATE,Ongoing alcohol intake directly opposes the purpose of hepatoprotective therapy.,Abstain from alcohol.,established,"silymarin, l-ornithine l-aspartate",yes,NEEDS CLINICAL REVIEW
Xanthine oxidase inhibitor,purine,MODERATE,A high-purine diet raises uric acid production and opposes urate-lowering therapy; may trigger flares.,"Limit organ meat, red meat, shellfish, meat extracts and yeast extract.",well-established,"allopurinol, febuxostat",yes,NEEDS CLINICAL REVIEW
Xanthine oxidase inhibitor,alcohol,HIGH,"Alcohol (especially beer) raises uric acid and precipitates gout flares, working against therapy.",Avoid beer and spirits; minimise all alcohol.,well-established,"allopurinol, febuxostat",yes,NEEDS CLINICAL REVIEW
Uricosuric,purine,MODERATE,High purine intake increases the uric acid load the drug must clear; stone risk.,Limit high-purine foods; keep fluid intake high.,established,"probenecid, benzbromarone",yes,NEEDS CLINICAL REVIEW
Anti-gout (acute),alcohol,HIGH,Alcohol precipitates and worsens acute gout attacks.,Avoid alcohol during a flare.,established,colchicine,yes,NEEDS CLINICAL REVIEW
Nitrate vasodilator,alcohol,HIGH,"Both are vasodilators; combined use causes profound hypotension, dizziness and syncope.","Avoid alcohol, especially around dosing.",well-established,"isosorbide mononitrate, glyceryl trinitrate, nicorandil",yes,NEEDS CLINICAL REVIEW
Beta blocker,sodium,MODERATE,High sodium intake blunts antihypertensive efficacy.,Keep salt intake moderate.,established,"metoprolol, atenolol, bisoprolol",yes,NEEDS CLINICAL REVIEW
Beta blocker,caffeine,LOW,Large caffeine loads can transiently raise blood pressure and offset rate control.,Avoid excessive caffeine.,weak,"metoprolol, propranolol",yes,NEEDS CLINICAL REVIEW
Alpha-1 blocker (uroselective),alcohol,MODERATE,Additive vasodilation; first-dose and postural hypotension.,Take the first doses at night; limit alcohol.,established,"tamsulosin, alfuzosin, silodosin",yes,NEEDS CLINICAL REVIEW
Alpha-1 blocker,alcohol,MODERATE,Additive orthostatic hypotension.,Rise slowly; limit alcohol.,established,"prazosin, doxazosin",no,NEEDS CLINICAL REVIEW
Antihypertensive (central alpha-2 agonist),alcohol,MODERATE,Additive sedation and hypotension.,Limit alcohol.,established,"clonidine, methyldopa",no,NEEDS CLINICAL REVIEW
Cardiac glycoside,calcium_mineral_chelation,MODERATE,High calcium load can potentiate digoxin effect on the heart; bran/high-fibre meals reduce digoxin absorption.,Avoid high-dose calcium; keep fibre intake consistent and separate from the dose.,established,digoxin,no,NEEDS CLINICAL REVIEW
H2 receptor antagonist,alcohol,MODERATE,"Cimetidine (and to a lesser extent others) inhibits gastric alcohol dehydrogenase, raising blood alcohol.","Limit alcohol, especially with cimetidine.",established,"cimetidine, ranitidine, famotidine",yes,NEEDS CLINICAL REVIEW
