ingredient_clean,occurrences,example_food_id,example_food_name
blackcurrant,1,PF-35,UNIBIC Fruit & Nut cookie
papaya cubes,1,PF-35,UNIBIC Fruit & Nut cookie
artificial flavours - chocolate,1,PF-38,Britannia NutriChoice Chocolate and Almond Oats Biscuits
maltodextnn,1,PF-40,Malkist Cheese Crunchy Layered Crackers
bakers yeast,1,PF-40,Malkist Cheese Crunchy Layered Crackers
pyridoxine hydrochlonde,1,PF-40,Malkist Cheese Crunchy Layered Crackers
artificial flavouning substance,1,PF-40,Malkist Cheese Crunchy Layered Crackers
farine de blé raffinée,1,PF-41,Karachi Bakery Osmania Biscuits
graisses végétales hydrogénées,1,PF-41,Karachi Bakery Osmania Biscuits
lait et solides de lait,1,PF-41,Karachi Bakery Osmania Biscuits
sel,1,PF-41,Karachi Bakery Osmania Biscuits
saffron flavour,1,PF-43,Haldirams Cookie Heaven Badam Pista Cookies
fdsc yellow no,1,PF-43,Haldirams Cookie Heaven Badam Pista Cookies
binding agent,1,PF-45,"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies"
compound chips,1,PF-45,"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies"
amaranth puff,1,PF-45,"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies"
roasted chickpea,1,PF-46,"Ritebite Max Protein Cookie Trail Mix, No Maida Multigrain Premium Biscuit Cookies"
dried black currants,1,PF-46,"Ritebite Max Protein Cookie Trail Mix, No Maida Multigrain Premium Biscuit Cookies"
dark chocolate chip,1,PF-47,The Baker's Dozen Cookies Choco Chip Flavoured Biscuits Cookies
added artificial flavour vanilla cake,1,PF-47,The Baker's Dozen Cookies Choco Chip Flavoured Biscuits Cookies
colours ins,1,PF-49,"Sunfeast Dark Fantasy Choco Chip, Biscuit Made With Deliciously Rich Chocolate"
dark compound,1,PF-51,Open Secret Zero Maida Assorted Chocolate Cookies
oat meal,1,PF-52,Mcvitie's Digestive High Fibre Biscuits With Goodness Of Wholewheat
baker s yeast,1,PF-53,Malkist Double Chocolatey Crunchy Layered Crackers
pyridoxine hydrochloride,1,PF-53,Malkist Double Chocolatey Crunchy Layered Crackers
chocolate dark compound,1,PF-54,CookieMan Choco Chunk Cookies
flax seed,1,PF-64,CookieMan Ragi Millet Jaggery Cookies
natural and artificial sweeteners,1,PF-64,CookieMan Ragi Millet Jaggery Cookies
cardamom seeds,1,PF-66,Parle Elaichi Rusk
nature identical vanillin,1,PF-67,Britannia Pure Magic Choco Stars
flovouring substances,1,PF-67,Britannia Pure Magic Choco Stars
nature identital,1,PF-67,Britannia Pure Magic Choco Stars
artificial ethyl venillin,1,PF-67,Britannia Pure Magic Choco Stars
levulose,1,PF-68,Parle-G Gold Biscuit
of vegetable add origin,1,PF-69,Parle-G Royale
di-acetyl tartaric acid esters of mono,1,PF-77,Parle Hide & Seek Choco Roll Choco Rolls
di-glycerides of edible vegetable oils,1,PF-77,Parle Hide & Seek Choco Roll Choco Rolls
cake concentrate,1,PF-82,Let'S Try Fruits Cake Rusk
jaggey,1,PF-85,Palekar Jaggery Toasted Buns
emulsifier471,1,PF-85,Palekar Jaggery Toasted Buns
potassium iodate,1,PF-87,Britannia Marie Gold Biscuits Plain
dark choco filling,1,PF-89,Britannia Pure Magic Chocolush Choco Filled Cookie
chives,1,PF-90,Britannia 5050 Maska Chaska Biscuit
dark chocochips,1,PF-93,Britannia Good Day ChocoChip Cookies
mono-glycerides of fatty acids,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
propylene glycol esters of fatty acids,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
salts of myristic,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
palmitic,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
stearic acids,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
ammonia,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
potassium,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
polyglycerol esters of fatty acid,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
vil,1,PF-96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake
seasoning flavour onion,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
seasoning flavour garlic,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
seasoning flavour coriander,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
seasoning flavour red chilli,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
seasoning flavour pepper,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
seasoning flavour cumin,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
from sunflower,1,PF-97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour
rape seed oil,1,PF-98,Sunfeats Dark Fantasy Desserts Choconut Dipped Filled Cookie Reimaged
choco crème,1,PF-98,Sunfeats Dark Fantasy Desserts Choconut Dipped Filled Cookie Reimaged
compound chocolate chips,1,PF-102,Sunfeast Farmlite Oats & Chocolate Cookies
antifoaming agent,1,PF-104,Frooti Mango Fruit Juice
identical and natural flavouring substances gelling agent,1,PF-105,Paper Boat Lychee Fruit Juice
identical and natural flavouring substances antioxidant,1,PF-105,Paper Boat Lychee Fruit Juice
preservatives211,1,PF-105,Paper Boat Lychee Fruit Juice
mix berries,1,PF-106,Yu Berry Blast 100% Fruit Juice With Berry Pieces
popping boba,1,PF-108,Boba Bhai Pina Colada with Popping Bubbles & Nata de Coco
mango flavours,1,PF-109,Maaza Mango Fruit Juice
reconstituted pomegranate juice,1,PF-110,Paper Boat Swing Pomegranate Fruit Juice
mango juice concentrate,1,PF-112,Paper Boat Mango
watermelon pulp,1,PF-119,"B Natural Mixed Fruit Juice, 100% Pulp"
bael pulp,1,PF-119,"B Natural Mixed Fruit Juice, 100% Pulp"
jamun pulp,1,PF-119,"B Natural Mixed Fruit Juice, 100% Pulp"
from apple,1,PF-120,Dabur Fruit Power Mixed Fruit Juice
equivalent t0 mango pulp in reconstituted beverage ingredients,1,PF-121,Slice Mango Drink
concentrated mango pulp,1,PF-121,Slice Mango Drink
natural and nature identical flavouring substances,1,PF-121,Slice Mango Drink
steviol glycoside,1,PF-121,Slice Mango Drink
guava puree,1,PF-122,Paper Boat Swing Guava Fruit Juice
passion,1,PF-123,Dabur Real Fruit Power Masala Mixed Fruit Juice
natural colours a,1,PF-123,Dabur Real Fruit Power Masala Mixed Fruit Juice
chili pepper,1,PF-123,Dabur Real Fruit Power Masala Mixed Fruit Juice
cranberry juice concentrate,1,PF-126,Dabur Real Cranberry Fruit Juice
strawberry juice from strawberry,1,PF-127,Mogu Mogu Strawberry Fruit Juice
peach,1,PF-132,Tropicana Delight Mixed Fruit Juice
reconstituted apple juice content,1,PF-135,Dabur Real Activ Apple Juice
litchi pulp concentrate,1,PF-136,Dabur Real Litchi Fruit Juice
ginger extract,1,PF-139,Raw Pressery Refreshers Sugarcane Fruit Juice
mosambi,1,PF-140,Dabur Real Mosambi Fruit Juice
sweet lime,1,PF-140,Dabur Real Mosambi Fruit Juice
concentrated cranberry juice,1,PF-142,Tropicana Delight Cranberry Fruit Juice
concentrated red grape juice,1,PF-142,Tropicana Delight Cranberry Fruit Juice
concentrated pomegranate juice,1,PF-142,Tropicana Delight Cranberry Fruit Juice
acidity regulators ins,1,PF-143,Storia Pomegranate Fruit Juice
japple concentrate,1,PF-143,Storia Pomegranate Fruit Juice
vitamin c- antioxidant,1,PF-144,Raw Pressery Valencia Orange Fruit Juice
cranberry puree,1,PF-145,Raw Pressery Refreshers Cranberry Fruit Juice
cranberry concentrate,1,PF-145,Raw Pressery Refreshers Cranberry Fruit Juice
acidifier,1,PF-146,Rani Imported Orange and Carrot Fruit Juice
nature identical orange flavor,1,PF-146,Rani Imported Orange and Carrot Fruit Juice
pure orange juice,1,PF-149,No filter 100% juice orange
strawberry juice,1,PF-151,No filter 100% juice strawberry
nature identical flavour blueberry,1,PF-154,RIO Blueberry Peach Bubbly Fruit Drink Can
nature identical flavour peach,1,PF-154,RIO Blueberry Peach Bubbly Fruit Drink Can
peach juice,1,PF-154,RIO Blueberry Peach Bubbly Fruit Drink Can
acai berry,1,PF-155,RIO Acai Berry & Mixed Berry Bubbly Fruit Drink Can
acidity regulators acidity regulators,1,PF-156,RIO WildBerry Bubbly Fruit Drink Can
wild berry,1,PF-156,RIO WildBerry Bubbly Fruit Drink Can
carbonating agent,1,PF-158,Appy Fizz Apple Soft Drink
saffron powder,1,PF-159,Paper Boat Aamras Drink
blend of mango pulp,1,PF-160,Dabur Real Mango Drink
including alphonso mango pulp,1,PF-160,Dabur Real Mango Drink
reconstituted from apple juice concentrate,1,PF-161,Del Monte Green Apple Fruit Drink Crisp
aloevera juice,1,PF-164,Alo Frut Litchi
pulp,1,PF-164,Alo Frut Litchi
added flavours natural,1,PF-165,Bindu Fizz Jeera Masala Soft Drink
addity regulators,1,PF-168,Bombay Banta Kala Khatta Soft Drink
lemon juice reconstituted,1,PF-170,Bombay Banta Masala Soda Soft Drink
class,1,PF-171,Paper Boat Swing Jeera Soft Drink
cloudifier,1,PF-174,Aloha Pudina Masala Soft Drink
nature-identical flavours,1,PF-175,NEOPOP Mango Bliss Can
lemon fruit,1,PF-178,Monster-S The Doctor Imported Energy Drink
natural flavourings,1,PF-178,Monster-S The Doctor Imported Energy Drink
panax ginseng root extract,1,PF-178,Monster-S The Doctor Imported Energy Drink
vitamins b2,1,PF-178,Monster-S The Doctor Imported Energy Drink
vitamins b3,1,PF-178,Monster-S The Doctor Imported Energy Drink
vitamins b6,1,PF-178,Monster-S The Doctor Imported Energy Drink
vitamins b12,1,PF-178,Monster-S The Doctor Imported Energy Drink
l-carnitine l-tartrate,1,PF-178,Monster-S The Doctor Imported Energy Drink
d-glucronolactone,1,PF-178,Monster-S The Doctor Imported Energy Drink
sweeteners aspartame,1,PF-179,Dr Pepper Sparkling Fruit Flavour Soft Drink
sweeteners acesulfame k,1,PF-179,Dr Pepper Sparkling Fruit Flavour Soft Drink
clear lemon juice concentrate,1,PF-180,Bisleri Limonata Lemon and Mint Soft Drink
lemon flavour,1,PF-181,Limca Lemon Soft Drink
concentrated lemon juice,1,PF-185,7UP Nimbooz Soft Drink
regulators,1,PF-186,Mountain Dew Lemon Soft Drink
coconut chunks,1,PF-187,Pluckk Natural Tender Coconut Water With Real Malai Chunks
nsn,1,PF-188,Paper Boat Tender Coconut Water
sequestrants,1,PF-190,Sting Energy Drink
vitamins premix,1,PF-190,Sting Energy Drink
acidity regulators magnesium carbonate,1,PF-191,Red Bull Energy Drink
b12,1,PF-191,Red Bull Energy Drink
toffee,1,PF-197,Smoodh Toffee Caramel Milk
vitamind2,1,PF-198,Hershey's Chocolate Milkshake
vitaminb1,1,PF-198,Hershey's Chocolate Milkshake
liquid giucose,1,PF-199,Hershey's Cookies and Cream Milkshake
mineral caloium carbonate,1,PF-199,Hershey's Cookies and Cream Milkshake
emusfiers,1,PF-199,Hershey's Cookies and Cream Milkshake
atificial flavounng substances,1,PF-199,Hershey's Cookies and Cream Milkshake
edible common sat,1,PF-199,Hershey's Cookies and Cream Milkshake
seguestrant,1,PF-199,Hershey's Cookies and Cream Milkshake
vitarmin a,1,PF-199,Hershey's Cookies and Cream Milkshake
ergocaloferol,1,PF-199,Hershey's Cookies and Cream Milkshake
thiamine chloride hydrochioride,1,PF-199,Hershey's Cookies and Cream Milkshake
riboltavin,1,PF-199,Hershey's Cookies and Cream Milkshake
stabilizers412,1,PF-201,Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate
ili,1,PF-201,Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate
oat,1,PF-201,Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate
purifed water,1,PF-205,Phab 18g Protein Mango Magic Milkshake
probiotic fructooligosaccharide,1,PF-205,Phab 18g Protein Mango Magic Milkshake
artificial flavour substances - mango,1,PF-205,Phab 18g Protein Mango Magic Milkshake
ynthetic food colour,1,PF-205,Phab 18g Protein Mango Magic Milkshake
natural food color,1,PF-207,Heritage Pista Flavoured Milk
cardamom extract,1,PF-207,Heritage Pista Flavoured Milk
artificial vanilla cake flavouring substance,1,PF-208,Heritage VANILLA CAKE Flavoured Milk
cappuccino,1,PF-218,Nescafe Ready To Drink Coffee Flavoured Milk Intense Cafe Cappucino Cold Coffee
natural flavoring substance,1,PF-219,Cravova Hazelnut Cold Coffee
chicory,1,PF-221,"Tata Cold Coffee Belgian Chocolate Iced Coffee, Rich & Creamy, Flavoured Milk"
added flavour - nature identical chocolate flavouring substances eggless chocolate cake,1,PF-222,Dairy Day Bento Cake Choco Fantasy Ice Cream Cake - Box
choco compound chips,1,PF-222,Dairy Day Bento Cake Choco Fantasy Ice Cream Cake - Box
chocolate syrup,1,PF-222,Dairy Day Bento Cake Choco Fantasy Ice Cream Cake - Box
chocolate and vanilla cake,1,PF-223,Winkies Cake - Chocolate Cake Slice
added artificial flavouring substances,1,PF-224,The Baker's Dozen VANILLA CAKE Cake
orange peel candy,1,PF-225,The Baker'S Dozen Fresh Orange Cake
glazed fruits papaya cuts,1,PF-226,Britannia Gobbles Bar Cake - Fruity Fun
glazed fruits preservative,1,PF-226,Britannia Gobbles Bar Cake - Fruity Fun
emulsifiers470,1,PF-226,Britannia Gobbles Bar Cake - Fruity Fun
choco callets,1,PF-229,Britannia Fudge It Chocolate Brownie (With Egg)
brownie magnum,1,PF-229,Britannia Fudge It Chocolate Brownie (With Egg)
and artificial flavour,1,PF-230,Winkies Fruit Cake Slice
refined vegetable fat ciinteresterified vegetable fat,1,PF-231,Britannia Gobbles Marble Red Velvet Cake
vitamin aj,1,PF-231,Britannia Gobbles Marble Red Velvet Cake
huaiectants,1,PF-231,Britannia Gobbles Marble Red Velvet Cake
and humectant,1,PF-231,Britannia Gobbles Marble Red Velvet Cake
glazed fruit cuts,1,PF-233,Modern Pineapple Pop Cake
synthetic food color,1,PF-233,Modern Pineapple Pop Cake
pineapple cuts,1,PF-233,Modern Pineapple Pop Cake
líquid glucose,1,PF-234,Cadbury Chocobakes ChocLayered Cakes
chocolayer,1,PF-234,Cadbury Chocobakes ChocLayered Cakes
croissant,1,PF-236,Bauli Moonfils Croissants Choco Cream (Egg)
bakery mox,1,PF-236,Bauli Moonfils Croissants Choco Cream (Egg)
artificial flavoring substances - vanilla cake,1,PF-236,Bauli Moonfils Croissants Choco Cream (Egg)
artificial flavoring substances - chocolate,1,PF-236,Bauli Moonfils Croissants Choco Cream (Egg)
sugat,1,PF-238,Modern Fruit N Nut Cake
hydrogenated vegetable fat candied fruits,1,PF-238,Modern Fruit N Nut Cake
dry fruits mix,1,PF-238,Modern Fruit N Nut Cake
cake concentrate mix,1,PF-238,Modern Fruit N Nut Cake
c296,1,PF-238,Modern Fruit N Nut Cake
mixed fruits,1,PF-239,UNIBIC Plum Cake
pear,1,PF-239,UNIBIC Plum Cake
dehydrated mango pulp,1,PF-239,UNIBIC Plum Cake
peservative,1,PF-239,UNIBIC Plum Cake
mixed fruit pulp,1,PF-239,UNIBIC Plum Cake
oranges,1,PF-239,UNIBIC Plum Cake
candied ginger peel,1,PF-239,UNIBIC Plum Cake
ginger piergs,1,PF-239,UNIBIC Plum Cake
sun flower oil,1,PF-239,UNIBIC Plum Cake
palmoein oil,1,PF-240,Winkies Fruit Cake Raisin & Tutti Fruitti
baking powder and,1,PF-240,Winkies Fruit Cake Raisin & Tutti Fruitti
nature-identical and natural flavour,1,PF-240,Winkies Fruit Cake Raisin & Tutti Fruitti
orange and lemon,1,PF-240,Winkies Fruit Cake Raisin & Tutti Fruitti
and preservatives,1,PF-242,Winkies Novo VANILLA CAKE Cake
humactant,1,PF-244,Winkies English Tea Cake
bakery mix,1,PF-246,Bauli Moonfils Croissants Strawberry
mulsifier,1,PF-246,Bauli Moonfils Croissants Strawberry
an-bioxidant,1,PF-246,Bauli Moonfils Croissants Strawberry
artificial flavouring substances-orange,1,PF-246,Bauli Moonfils Croissants Strawberry
black carrot extract,1,PF-246,Bauli Moonfils Croissants Strawberry
artificial flavoring substances-strawberry,1,PF-246,Bauli Moonfils Croissants Strawberry
anti-oxidant,1,PF-247,"Open Secret Heart Shaped Chocolate Almond Brownie, No Maida, Zero Palm Oil"
eggless chocolate cake,1,PF-248,Havmor Mud Cake Ice Cream Cake
additives - emulsifiers,1,PF-248,Havmor Mud Cake Ice Cream Cake
additives-synthetic food colour,1,PF-248,Havmor Mud Cake Ice Cream Cake
cow,1,PF-249,The Belgian Waffle Co Cookie & Cream Waffle Crisps
buffalo,1,PF-249,The Belgian Waffle Co Cookie & Cream Waffle Crisps
edible vegetable,1,PF-249,The Belgian Waffle Co Cookie & Cream Waffle Crisps
refined palm kernel,1,PF-249,The Belgian Waffle Co Cookie & Cream Waffle Crisps
crème filling,1,PF-250,Sunfeast Dark Fantasy Choco Rolls
ins1100,1,PF-251,Dukes Waffy Chocolate Wafers
ins1101,1,PF-251,Dukes Waffy Chocolate Wafers
dark choco compound,1,PF-252,The Belgian Waffle Co Classic Choco Crisps
nature-identical flavouring substances contains ecc,1,PF-253,Dr. Oetker Kuppies Chocolate Waffle
belgian chocolate sauce,1,PF-257,Nova Nova Best Bite Choco Filled Cones- Belgian Chocolate
rice grit,1,PF-262,Kurkure Yummy PuffCorn Yummy Cheese Chips
artificial sweetner aspartame,1,PF-262,Kurkure Yummy PuffCorn Yummy Cheese Chips
turmeric extract,1,PF-262,Kurkure Yummy PuffCorn Yummy Cheese Chips
chick pea,1,PF-267,Crax Double Mazza Roasted Chana Peanuts Namkeen Snacks
yellow pea grits,1,PF-269,Bingo! Popped Chips Sour Cream & Herbs
green pea grits,1,PF-269,Bingo! Popped Chips Sour Cream & Herbs
nature-ldentical flavouring substances,1,PF-271,Too Yumm! Sour Cream & Onion Veggie Stix
used as natural flavouring agent,1,PF-271,Too Yumm! Sour Cream & Onion Veggie Stix
large cardamom powder,1,PF-276,Uncle Chips Spicy Treat
cinnamon nutmeg,1,PF-282,Let's Try Peanut Party Mix
vegetable oils,1,PF-284,Haldiram's Halke Fulke - Salted Potato Chips
yeast exctract,1,PF-284,Haldiram's Halke Fulke - Salted Potato Chips
red chili powder,1,PF-288,Let's Try Garlic Bhujia
flaked rice,1,PF-289,Lets Try Lite Mixture
carrom seeds,1,PF-289,Lets Try Lite Mixture
casia powder,1,PF-289,Lets Try Lite Mixture
papain,1,PF-290,Orion K Snack Rings Kimchi Flavour
refined cottonseed oil,1,PF-291,Jabsons Roasted Peanuts Classic Salted
colouring agent,1,PF-292,Orion K Snack Rings 3x Spicy
chipotle,1,PF-294,BRB Potato Popped Chips - Spicy Chipotle Flavour
pulses,1,PF-295,Brb Rice Popped Chips Peri Peri Flavour
longi mirch,1,PF-298,Let's Try Bhujia
roasted urad dal,1,PF-299,Wellbe Crunchy Kodbale
amaranth flour,1,PF-301,The Baker's Dozen Zero Maida Ragi Crackers Baked Millet Snack
stabilising agent,1,PF-306,Too Yumm! Bhoot Potato Chips Spicy Chilli Flavour Chips
canola,1,PF-312,Kurkure Schezwan Chutney
edible common,1,PF-319,Farmley Achaari Makhana Roasted In Olive Oil
garlic flakes,1,PF-319,Farmley Achaari Makhana Roasted In Olive Oil
hydrolysed vegetable,1,PF-319,Farmley Achaari Makhana Roasted In Olive Oil
fox-nuts,1,PF-323,MOM Black Salt Roasted Makhana
foxnut flour,1,PF-324,Let's Try Sour Cream And Onion Makhana Puffs
anti-caking agents,1,PF-325,MR. MAKHANA Fox Nuts Black Salt
